   1.6100000e+02   4.0000000e-03   1.0000000e-07
  -3.9878640e-01  -6.7990730e+00   3.7604800e+04   0.0000000e+00
  -3.9390290e-01  -6.7016337e+00   3.7604800e+04   0.0000000e+00
  -3.8886350e-01  -6.6000659e+00   3.7604800e+04   0.0000000e+00
  -3.8396370e-01  -6.5019538e+00   3.7583900e+04   0.0000000e+00
  -3.7891610e-01  -6.4023724e+00   3.7583900e+04   0.0000000e+00
  -3.7404900e-01  -6.3026597e+00   3.7586900e+04   0.0000000e+00
  -3.6900960e-01  -6.1998199e+00   3.7586900e+04   0.0000000e+00
  -3.6413430e-01  -6.0980802e+00   3.7586900e+04   0.0000000e+00
  -3.5908670e-01  -5.9929177e+00   3.7586900e+04   0.0000000e+00
  -3.5421970e-01  -5.8891915e+00   3.7586900e+04   0.0000000e+00
  -3.4916390e-01  -5.7838731e+00   3.7583900e+04   0.0000000e+00
  -3.4429680e-01  -5.6815422e+00   3.7583900e+04   0.0000000e+00
  -3.3924920e-01  -5.5738107e+00   3.7583900e+04   0.0000000e+00
  -3.3436570e-01  -5.4719230e+00   3.7583900e+04   0.0000000e+00
  -3.2933450e-01  -5.3621723e+00   3.7580900e+04   0.0000000e+00
  -3.2445930e-01  -5.2608838e+00   3.7580900e+04   0.0000000e+00
  -3.1939530e-01  -5.1530621e+00   3.7580900e+04   0.0000000e+00
  -3.1452000e-01  -5.0496231e+00   3.7580900e+04   0.0000000e+00
  -3.0949700e-01  -4.9439188e+00   3.7580900e+04   0.0000000e+00
  -3.0462180e-01  -4.8398397e+00   3.7580900e+04   0.0000000e+00
  -2.9954950e-01  -4.7354734e+00   3.7580900e+04   0.0000000e+00
  -2.9467430e-01  -4.6304422e+00   3.7580900e+04   0.0000000e+00
  -2.8968410e-01  -4.5239990e+00   3.7580900e+04   0.0000000e+00
  -2.8481710e-01  -4.4196983e+00   3.7580900e+04   0.0000000e+00
  -2.7976950e-01  -4.3143141e+00   3.7580900e+04   0.0000000e+00
  -2.7489420e-01  -4.2116057e+00   3.7580900e+04   0.0000000e+00
  -2.6983020e-01  -4.1045551e+00   3.7580900e+04   0.0000000e+00
  -2.6497130e-01  -4.0013871e+00   3.7580900e+04   0.0000000e+00
  -2.5994010e-01  -3.8942382e+00   3.7580900e+04   0.0000000e+00
  -2.5505670e-01  -3.7932285e+00   3.7580900e+04   0.0000000e+00
  -2.5003370e-01  -3.6879264e+00   3.7580900e+04   0.0000000e+00
  -2.4514200e-01  -3.5854066e+00   3.7580900e+04   0.0000000e+00
  -2.4008620e-01  -3.4793082e+00   3.7580900e+04   0.0000000e+00
  -2.3521090e-01  -3.3750813e+00   3.7580900e+04   0.0000000e+00
  -2.3015510e-01  -3.2687369e+00   3.7580900e+04   0.0000000e+00
  -2.2528810e-01  -3.1669063e+00   3.7580900e+04   0.0000000e+00
  -2.2024050e-01  -3.0602253e+00   3.7580900e+04   0.0000000e+00
  -2.1538160e-01  -2.9599872e+00   3.7580900e+04   0.0000000e+00
  -2.1033400e-01  -2.8519764e+00   3.7580900e+04   0.0000000e+00
  -2.0546700e-01  -2.7505811e+00   3.7580900e+04   0.0000000e+00
  -2.0040270e-01  -2.6435141e+00   3.7580900e+04   0.0000000e+00
  -1.9553570e-01  -2.5394513e+00   3.7583900e+04   0.0000000e+00
  -1.9051270e-01  -2.4287895e+00   3.7583900e+04   0.0000000e+00
  -1.8562100e-01  -2.3252110e+00   3.7583900e+04   0.0000000e+00
  -1.8058160e-01  -2.2142046e+00   3.7583900e+04   0.0000000e+00
  -1.7572280e-01  -2.1090746e+00   3.7583900e+04   0.0000000e+00
  -1.7067520e-01  -1.9959507e+00   3.7583900e+04   0.0000000e+00
  -1.6579170e-01  -1.8894828e+00   3.7583900e+04   0.0000000e+00
  -1.6075230e-01  -1.7738308e+00   3.7583900e+04   0.0000000e+00
  -1.5586060e-01  -1.6628491e+00   3.7583900e+04   0.0000000e+00
  -1.5082940e-01  -1.5473201e+00   3.7586900e+04   0.0000000e+00
  -1.4595420e-01  -1.4315699e+00   3.7586900e+04   0.0000000e+00
  -1.4089840e-01  -1.3067418e+00   3.7589900e+04   0.0000000e+00
  -1.3602310e-01  -1.1804775e+00   3.7589900e+04   0.0000000e+00
  -1.3097550e-01  -1.0424684e+00   3.7589900e+04   0.0000000e+00
  -1.2610840e-01  -9.0148810e-01   3.7589900e+04   0.0000000e+00
  -1.2105260e-01  -7.4903360e-01   3.7592800e+04   0.0000000e+00
  -1.1618560e-01  -5.8794490e-01   3.7592800e+04   0.0000000e+00
  -1.1115440e-01  -4.1167220e-01   3.7592800e+04   0.0000000e+00
  -1.0627090e-01  -2.3739410e-01   3.7592800e+04   0.0000000e+00
  -1.0123150e-01  -7.9694800e-02   3.7595800e+04   0.0000000e+00
  -9.6347800e-02  -1.0916000e-02   3.7595800e+04   0.0000000e+00
  -9.1316600e-02  -5.0070000e-04   3.7595800e+04   0.0000000e+00
  -8.6449600e-02   1.8880000e-04   3.7595800e+04   0.0000000e+00
  -8.1385600e-02   2.2980000e-04   3.7595800e+04   0.0000000e+00
  -7.6510300e-02   2.7910000e-04   3.7595800e+04   0.0000000e+00
  -7.1454500e-02   2.9550000e-04   3.7595800e+04   0.0000000e+00
  -6.6595700e-02   3.5290000e-04   3.7595800e+04   0.0000000e+00
  -6.1548000e-02   3.6930000e-04   3.7595800e+04   0.0000000e+00
  -5.6681000e-02   3.8580000e-04   3.7595800e+04   0.0000000e+00
  -5.1641600e-02   4.6780000e-04   3.7595800e+04   0.0000000e+00
  -4.6758100e-02   5.5810000e-04   3.7595800e+04   0.0000000e+00
  -4.1743300e-02   6.4020000e-04   3.7595800e+04   0.0000000e+00
  -3.6859900e-02   6.8120000e-04   3.7592800e+04   0.0000000e+00
  -3.1812300e-02   7.0580000e-04   3.7592800e+04   0.0000000e+00
  -2.6937000e-02   7.3050000e-04   3.7589900e+04   0.0000000e+00
  -2.1889400e-02   7.5510000e-04   3.7589900e+04   0.0000000e+00
  -1.7014100e-02   7.8790000e-04   3.7586900e+04   0.0000000e+00
  -1.1982900e-02   8.6180000e-04   3.7586900e+04   0.0000000e+00
  -7.0995000e-03   1.4445000e-03   3.7586900e+04   0.0000000e+00
  -2.0519000e-03   1.1186800e-02   3.7586900e+04   0.0000000e+00
   2.8070000e-03   7.2152100e-02   3.7586900e+04   0.0000000e+00
   7.6986000e-03   2.2049470e-01   3.7586900e+04   0.0000000e+00
   1.2738000e-02   4.1035880e-01   3.7586900e+04   0.0000000e+00
   1.7605100e-02   5.8234710e-01   3.7586900e+04   0.0000000e+00
   2.2669100e-02   7.4741670e-01   3.7586900e+04   0.0000000e+00
   2.7528000e-02   8.9794240e-01   3.7586900e+04   0.0000000e+00
   3.2583800e-02   1.0408515e+00   3.7586900e+04   0.0000000e+00
   3.7434400e-02   1.1785243e+00   3.7586900e+04   0.0000000e+00
   4.2490200e-02   1.3088351e+00   3.7586900e+04   0.0000000e+00
   4.7357300e-02   1.4316359e+00   3.7586900e+04   0.0000000e+00
   5.2404900e-02   1.5514245e+00   3.7586900e+04   0.0000000e+00
   5.7271900e-02   1.6648523e+00   3.7586900e+04   0.0000000e+00
   6.2311300e-02   1.7803155e+00   3.7586900e+04   0.0000000e+00
   6.7203000e-02   1.8915767e+00   3.7589900e+04   0.0000000e+00
   7.2250600e-02   2.0032236e+00   3.7589900e+04   0.0000000e+00
   7.7134100e-02   2.1127692e+00   3.7589900e+04   0.0000000e+00
   8.2181700e-02   2.2223233e+00   3.7592800e+04   0.0000000e+00
   8.7073400e-02   2.3290209e+00   3.7592800e+04   0.0000000e+00
   9.2104600e-02   2.4380576e+00   3.7595800e+04   0.0000000e+00
   9.6979800e-02   2.5445420e+00   3.7595800e+04   0.0000000e+00
   1.0200280e-01   2.6512642e+00   3.7598800e+04   0.0000000e+00
   1.0689450e-01   2.7564518e+00   3.7598800e+04   0.0000000e+00
   1.1194210e-01   2.8614833e+00   3.7598800e+04   0.0000000e+00
   1.1681730e-01   2.9649392e+00   3.7598800e+04   0.0000000e+00
   1.2186500e-01   3.0712838e+00   3.7598800e+04   0.0000000e+00
   1.2674020e-01   3.1764466e+00   3.7598800e+04   0.0000000e+00
   1.3177960e-01   3.2816671e+00   3.7595800e+04   0.0000000e+00
   1.3666310e-01   3.3840557e+00   3.7595800e+04   0.0000000e+00
   1.4170250e-01   3.4912705e+00   3.7595800e+04   0.0000000e+00
   1.4657770e-01   3.5927894e+00   3.7592800e+04   0.0000000e+00
   1.5161710e-01   3.6982641e+00   3.7592800e+04   0.0000000e+00
   1.5650060e-01   3.8004722e+00   3.7589900e+04   0.0000000e+00
   1.6151540e-01   3.9071454e+00   3.7589900e+04   0.0000000e+00
   1.6639890e-01   4.0112002e+00   3.7589900e+04   0.0000000e+00
   1.7144650e-01   4.1149678e+00   3.7586900e+04   0.0000000e+00
   1.7631350e-01   4.2180461e+00   3.7586900e+04   0.0000000e+00
   1.8135290e-01   4.3251050e+00   3.7586900e+04   0.0000000e+00
   1.8622820e-01   4.4259096e+00   3.7586900e+04   0.0000000e+00
   1.9127580e-01   4.5320574e+00   3.7586900e+04   0.0000000e+00
   1.9612640e-01   4.6346596e+00   3.7589900e+04   0.0000000e+00
   2.0117400e-01   4.7414230e+00   3.7589900e+04   0.0000000e+00
   2.0604930e-01   4.8451332e+00   3.7592800e+04   0.0000000e+00
   2.1110530e-01   4.9515846e+00   3.7595800e+04   0.0000000e+00
   2.1597240e-01   5.0514454e+00   3.7595800e+04   0.0000000e+00
   2.2102820e-01   5.1586602e+00   3.7595800e+04   0.0000000e+00
   2.2588700e-01   5.2613198e+00   3.7595800e+04   0.0000000e+00
   2.3091820e-01   5.3672049e+00   3.7595800e+04   0.0000000e+00
   2.3580170e-01   5.4681083e+00   3.7595800e+04   0.0000000e+00
   2.4086570e-01   5.5716954e+00   3.7595800e+04   0.0000000e+00
   2.4571630e-01   5.6735917e+00   3.7595800e+04   0.0000000e+00
   2.5073930e-01   5.7800432e+00   3.7595800e+04   0.0000000e+00
   2.5561460e-01   5.8799861e+00   3.7592800e+04   0.0000000e+00
   2.6067040e-01   5.9848700e+00   3.7592800e+04   0.0000000e+00
   2.6554570e-01   6.0873982e+00   3.7592800e+04   0.0000000e+00
   2.7056860e-01   6.1938496e+00   3.7592800e+04   0.0000000e+00
   2.7545210e-01   6.2941865e+00   3.7595800e+04   0.0000000e+00
   2.8049970e-01   6.3972893e+00   3.7595800e+04   0.0000000e+00
   2.8537500e-01   6.4982580e+00   3.7595800e+04   0.0000000e+00
   2.9044720e-01   6.6003595e+00   3.7595800e+04   0.0000000e+00
   2.9529780e-01   6.7015829e+00   3.7595800e+04   0.0000000e+00
   3.0035370e-01   6.8063026e+00   3.7595800e+04   0.0000000e+00
   3.0521250e-01   6.9064836e+00   3.7595800e+04   0.0000000e+00
   3.1026010e-01   7.0103742e+00   3.7595800e+04   0.0000000e+00
   3.1511900e-01   7.1108753e+00   3.7592800e+04   0.0000000e+00
   3.2015020e-01   7.2153570e+00   3.7592800e+04   0.0000000e+00
   3.2504180e-01   7.3155296e+00   3.7592800e+04   0.0000000e+00
   3.3007300e-01   7.4189853e+00   3.7589900e+04   0.0000000e+00
   3.3494830e-01   7.5193470e+00   3.7589900e+04   0.0000000e+00
   3.3999590e-01   7.6219818e+00   3.7589900e+04   0.0000000e+00
   3.4487110e-01   7.7208824e+00   3.7586900e+04   0.0000000e+00
   3.4992700e-01   7.8218924e+00   3.7586900e+04   0.0000000e+00
   3.5477760e-01   7.9211048e+00   3.7586900e+04   0.0000000e+00
   3.5981700e-01   8.0239204e+00   3.7586900e+04   0.0000000e+00
   3.6470050e-01   8.1211055e+00   3.7589900e+04   0.0000000e+00
   3.6973990e-01   8.2181513e+00   3.7589900e+04   0.0000000e+00
   3.7462330e-01   8.3134159e+00   3.7592800e+04   0.0000000e+00
   3.7966270e-01   8.4140481e+00   3.7592800e+04   0.0000000e+00
   3.8452160e-01   8.5082623e+00   3.7595800e+04   0.0000000e+00
   3.8957740e-01   8.6103801e+00   3.7595800e+04   0.0000000e+00
   3.9446090e-01   8.7032480e+00   3.7595800e+04   0.0000000e+00
