   1.6400000e+02   4.0000000e-03   1.0000000e-07
  -8.3503100e-02  -3.2010000e-04   3.7610700e+04   0.0000000e+00
  -8.2961400e-02  -1.4770000e-04   3.7610700e+04   0.0000000e+00
  -8.2444300e-02  -8.2100000e-05   3.7610700e+04   0.0000000e+00
  -8.1927300e-02   4.1000000e-05   3.7616700e+04   0.0000000e+00
  -8.1402000e-02   8.2100000e-05   3.7616700e+04   0.0000000e+00
  -8.1057300e-02   7.3900000e-05   3.7616700e+04   0.0000000e+00
  -8.0548400e-02   1.1490000e-04   3.7613700e+04   0.0000000e+00
  -8.0023100e-02   1.3130000e-04   3.7613700e+04   0.0000000e+00
  -7.9497800e-02   1.5590000e-04   3.7613700e+04   0.0000000e+00
  -7.8989000e-02   1.6410000e-04   3.7613700e+04   0.0000000e+00
  -7.8455500e-02   1.5590000e-04   3.7613700e+04   0.0000000e+00
  -7.7922000e-02   1.9700000e-04   3.7610700e+04   0.0000000e+00
  -7.7569100e-02   1.6410000e-04   3.7610700e+04   0.0000000e+00
  -7.7060200e-02   1.8880000e-04   3.7610700e+04   0.0000000e+00
  -7.6526700e-02   1.8060000e-04   3.7610700e+04   0.0000000e+00
  -7.6017900e-02   1.9700000e-04   3.7607700e+04   0.0000000e+00
  -7.5484400e-02   1.9700000e-04   3.7607700e+04   0.0000000e+00
  -7.4959100e-02   1.9700000e-04   3.7607700e+04   0.0000000e+00
  -7.4630800e-02   1.9700000e-04   3.7607700e+04   0.0000000e+00
  -7.4072700e-02   2.1340000e-04   3.7607700e+04   0.0000000e+00
  -7.3580200e-02   2.1340000e-04   3.7610700e+04   0.0000000e+00
  -7.3046700e-02   2.3800000e-04   3.7610700e+04   0.0000000e+00
  -7.2513300e-02   2.3800000e-04   3.7610700e+04   0.0000000e+00
  -7.2004400e-02   2.3800000e-04   3.7613700e+04   0.0000000e+00
  -7.1487300e-02   2.4620000e-04   3.7613700e+04   0.0000000e+00
  -7.1150800e-02   2.3800000e-04   3.7616700e+04   0.0000000e+00
  -7.0625500e-02   2.3800000e-04   3.7616700e+04   0.0000000e+00
  -7.0092000e-02   2.2980000e-04   3.7616700e+04   0.0000000e+00
  -6.9566800e-02   2.3800000e-04   3.7619700e+04   0.0000000e+00
  -6.9049700e-02   2.5440000e-04   3.7619700e+04   0.0000000e+00
  -6.8524400e-02   2.5440000e-04   3.7619700e+04   0.0000000e+00
  -6.8015600e-02   2.6260000e-04   3.7619700e+04   0.0000000e+00
  -6.7654400e-02   2.5440000e-04   3.7616700e+04   0.0000000e+00
  -6.7120900e-02   2.7080000e-04   3.7616700e+04   0.0000000e+00
  -6.6612100e-02   2.5440000e-04   3.7616700e+04   0.0000000e+00
  -6.6086800e-02   2.7080000e-04   3.7616700e+04   0.0000000e+00
  -6.5569700e-02   2.7910000e-04   3.7613700e+04   0.0000000e+00
  -6.5060900e-02   2.7910000e-04   3.7613700e+04   0.0000000e+00
  -6.4699700e-02   2.7910000e-04   3.7613700e+04   0.0000000e+00
  -6.4182600e-02   2.6260000e-04   3.7613700e+04   0.0000000e+00
  -6.3665600e-02   2.9550000e-04   3.7613700e+04   0.0000000e+00
  -6.3148500e-02   3.0370000e-04   3.7613700e+04   0.0000000e+00
  -6.2623200e-02   2.7910000e-04   3.7613700e+04   0.0000000e+00
  -6.2106200e-02   3.0370000e-04   3.7616700e+04   0.0000000e+00
  -6.1572700e-02   2.8730000e-04   3.7616700e+04   0.0000000e+00
  -6.1236200e-02   3.1190000e-04   3.7616700e+04   0.0000000e+00
  -6.0719100e-02   3.0370000e-04   3.7616700e+04   0.0000000e+00
  -6.0177400e-02   3.0370000e-04   3.7616700e+04   0.0000000e+00
  -5.9660300e-02   3.0370000e-04   3.7616700e+04   0.0000000e+00
  -5.9151500e-02   3.0370000e-04   3.7613700e+04   0.0000000e+00
  -5.8618000e-02   2.9550000e-04   3.7613700e+04   0.0000000e+00
  -5.8100900e-02   3.0370000e-04   3.7610700e+04   0.0000000e+00
  -5.7748000e-02   3.1190000e-04   3.7610700e+04   0.0000000e+00
  -5.7239100e-02   3.0370000e-04   3.7610700e+04   0.0000000e+00
  -5.6722000e-02   3.3650000e-04   3.7610700e+04   0.0000000e+00
  -5.6180300e-02   3.3650000e-04   3.7610700e+04   0.0000000e+00
  -5.5663300e-02   3.3650000e-04   3.7610700e+04   0.0000000e+00
  -5.5129800e-02   3.3650000e-04   3.7613700e+04   0.0000000e+00
  -5.4768600e-02   3.1190000e-04   3.7613700e+04   0.0000000e+00
  -5.4268000e-02   3.2010000e-04   3.7613700e+04   0.0000000e+00
  -5.3734500e-02   3.3650000e-04   3.7616700e+04   0.0000000e+00
  -5.3201000e-02   3.3650000e-04   3.7616700e+04   0.0000000e+00
  -5.2692100e-02   3.3650000e-04   3.7616700e+04   0.0000000e+00
  -5.2158700e-02   3.4470000e-04   3.7616700e+04   0.0000000e+00
  -5.1658000e-02   3.3650000e-04   3.7616700e+04   0.0000000e+00
  -5.1296900e-02   3.6930000e-04   3.7616700e+04   0.0000000e+00
  -5.0763400e-02   3.4470000e-04   3.7616700e+04   0.0000000e+00
  -5.0262700e-02   3.4470000e-04   3.7616700e+04   0.0000000e+00
  -4.9737400e-02   3.6930000e-04   3.7616700e+04   0.0000000e+00
  -4.9220400e-02   3.7750000e-04   3.7616700e+04   0.0000000e+00
  -4.8695100e-02   3.6110000e-04   3.7616700e+04   0.0000000e+00
  -4.8169800e-02   3.8580000e-04   3.7616700e+04   0.0000000e+00
  -4.7816900e-02   3.8580000e-04   3.7616700e+04   0.0000000e+00
  -4.7291600e-02   4.0220000e-04   3.7616700e+04   0.0000000e+00
  -4.6766300e-02   4.0220000e-04   3.7619700e+04   0.0000000e+00
  -4.6249300e-02   4.0220000e-04   3.7622600e+04   0.0000000e+00
  -4.5740400e-02   4.0220000e-04   3.7622600e+04   0.0000000e+00
  -4.5198700e-02   4.2680000e-04   3.7622600e+04   0.0000000e+00
  -4.4845800e-02   4.4320000e-04   3.7622600e+04   0.0000000e+00
  -4.4336900e-02   4.3500000e-04   3.7622600e+04   0.0000000e+00
  -4.3819800e-02   4.5140000e-04   3.7622600e+04   0.0000000e+00
  -4.3311000e-02   4.8420000e-04   3.7622600e+04   0.0000000e+00
