   1.3700000e+02   4.2553191e-04   1.0000000e-07
   4.8038540e-01  -2.1504000e-03   3.7843200e+04   0.0000000e+00
   4.8536730e-01  -2.2571000e-03   3.7843200e+04   0.0000000e+00
   4.9034110e-01  -2.1011000e-03   3.7843200e+04   0.0000000e+00
   4.9533940e-01  -2.0519000e-03   3.7843200e+04   0.0000000e+00
   5.0032960e-01  -1.9944000e-03   3.7843200e+04   0.0000000e+00
   5.0532800e-01  -1.9452000e-03   3.7843200e+04   0.0000000e+00
   5.1032630e-01  -1.8631000e-03   3.7843200e+04   0.0000000e+00
   5.1531650e-01  -1.9123000e-03   3.7843200e+04   0.0000000e+00
   5.2030670e-01  -1.9041000e-03   3.7843200e+04   0.0000000e+00
   5.2532140e-01  -1.8877000e-03   3.7843200e+04   0.0000000e+00
   5.3031160e-01  -1.8959000e-03   3.7843200e+04   0.0000000e+00
   5.3531820e-01  -1.8056000e-03   3.7843200e+04   0.0000000e+00
   5.4030830e-01  -1.8631000e-03   3.7843200e+04   0.0000000e+00
   5.4530670e-01  -1.8385000e-03   3.7843200e+04   0.0000000e+00
   5.5031330e-01  -1.7482000e-03   3.7843200e+04   0.0000000e+00
   5.5530340e-01  -1.6825000e-03   3.7843200e+04   0.0000000e+00
   5.6030180e-01  -1.7482000e-03   3.7843200e+04   0.0000000e+00
   5.6530020e-01  -1.6907000e-03   3.7843200e+04   0.0000000e+00
   5.7029030e-01  -1.6825000e-03   3.7843200e+04   0.0000000e+00
   5.7530510e-01  -1.6990000e-03   3.7843200e+04   0.0000000e+00
   5.8030350e-01  -1.7072000e-03   3.7843200e+04   0.0000000e+00
   5.8528540e-01  -1.6169000e-03   3.7843200e+04   0.0000000e+00
   5.9027560e-01  -1.6251000e-03   3.7843200e+04   0.0000000e+00
   5.9507700e-01  -1.6169000e-03   3.7846200e+04   0.0000000e+00
   6.0005890e-01  -1.6579000e-03   3.7846200e+04   0.0000000e+00
   6.0509830e-01  -1.6415000e-03   3.7846200e+04   0.0000000e+00
   6.1008030e-01  -1.5594000e-03   3.7849100e+04   0.0000000e+00
   6.1507040e-01  -1.5840000e-03   3.7849100e+04   0.0000000e+00
   6.2006060e-01  -1.5430000e-03   3.7849100e+04   0.0000000e+00
   6.2504260e-01  -1.5020000e-03   3.7849100e+04   0.0000000e+00
   6.3004120e-01  -1.5266000e-03   3.7852100e+04   0.0000000e+00
   6.3537610e-01  -1.5184000e-03   3.7852100e+04   0.0000000e+00
   6.4036630e-01  -1.5102000e-03   3.7852100e+04   0.0000000e+00
   6.4534820e-01  -1.4856000e-03   3.7852100e+04   0.0000000e+00
   6.5030550e-01  -1.4938000e-03   3.7849100e+04   0.0000000e+00
   6.5532030e-01  -1.4609000e-03   3.7849100e+04   0.0000000e+00
   6.6027770e-01  -1.4281000e-03   3.7849100e+04   0.0000000e+00
   6.6530060e-01  -1.4527000e-03   3.7849100e+04   0.0000000e+00
   6.7022510e-01  -1.3953000e-03   3.7846200e+04   0.0000000e+00
   6.7520710e-01  -1.4117000e-03   3.7846200e+04   0.0000000e+00
   6.8016440e-01  -1.3789000e-03   3.7846200e+04   0.0000000e+00
   6.8516280e-01  -1.3707000e-03   3.7846200e+04   0.0000000e+00
   6.9012830e-01  -1.3378000e-03   3.7846200e+04   0.0000000e+00
   6.9544680e-01  -1.3542000e-03   3.7843200e+04   0.0000000e+00
   7.0046160e-01  -1.3789000e-03   3.7843200e+04   0.0000000e+00
   7.0542710e-01  -1.2886000e-03   3.7843200e+04   0.0000000e+00
   7.1040090e-01  -1.2968000e-03   3.7843200e+04   0.0000000e+00
   7.1539920e-01  -1.2640000e-03   3.7843200e+04   0.0000000e+00
   7.2038120e-01  -1.2640000e-03   3.7846200e+04   0.0000000e+00
   7.2536310e-01  -1.2640000e-03   3.7846200e+04   0.0000000e+00
   7.3027120e-01  -1.2886000e-03   3.7849100e+04   0.0000000e+00
   7.3527780e-01  -1.2065000e-03   3.7849100e+04   0.0000000e+00
   7.4023510e-01  -1.1819000e-03   3.7846200e+04   0.0000000e+00
   7.4523350e-01  -1.1983000e-03   3.7846200e+04   0.0000000e+00
   7.5019900e-01  -1.1573000e-03   3.7843200e+04   0.0000000e+00
   7.5520560e-01  -1.0916000e-03   3.7843200e+04   0.0000000e+00
   7.6053230e-01  -1.1326000e-03   3.7846200e+04   0.0000000e+00
   7.6550600e-01  -1.1326000e-03   3.7846200e+04   0.0000000e+00
   7.7050440e-01  -1.1244000e-03   3.7846200e+04   0.0000000e+00
   7.7545350e-01  -1.1244000e-03   3.7849100e+04   0.0000000e+00
   7.8044370e-01  -1.0506000e-03   3.7849100e+04   0.0000000e+00
   7.8543380e-01  -1.0341000e-03   3.7849100e+04   0.0000000e+00
   7.9037470e-01  -1.0013000e-03   3.7849100e+04   0.0000000e+00
   7.9533210e-01  -1.0013000e-03   3.7849100e+04   0.0000000e+00
   8.0033040e-01  -1.0177000e-03   3.7849100e+04   0.0000000e+00
   8.0528780e-01  -1.0095000e-03   3.7849100e+04   0.0000000e+00
   8.1030260e-01  -1.0013000e-03   3.7849100e+04   0.0000000e+00
   8.1524350e-01  -9.1920000e-04   3.7849100e+04   0.0000000e+00
   8.2024180e-01  -8.9460000e-04   3.7849100e+04   0.0000000e+00
   8.2560950e-01  -8.8640000e-04   3.7852100e+04   0.0000000e+00
   8.3053400e-01  -9.1100000e-04   3.7852100e+04   0.0000000e+00
   8.3552420e-01  -8.9460000e-04   3.7852100e+04   0.0000000e+00
   8.4048990e-01  -8.4540000e-04   3.7852100e+04   0.0000000e+00
   8.4548010e-01  -7.9610000e-04   3.7852100e+04   0.0000000e+00
   8.5042920e-01  -8.5360000e-04   3.7852100e+04   0.0000000e+00
   8.5538650e-01  -7.2230000e-04   3.7849100e+04   0.0000000e+00
   8.6040130e-01  -7.2230000e-04   3.7849100e+04   0.0000000e+00
   8.6535050e-01  -7.2230000e-04   3.7846200e+04   0.0000000e+00
   8.7034880e-01  -7.2230000e-04   3.7843200e+04   0.0000000e+00
   8.7527330e-01  -7.3870000e-04   3.7843200e+04   0.0000000e+00
   8.8027990e-01  -7.1410000e-04   3.7843200e+04   0.0000000e+00
   8.8561480e-01  -6.3200000e-04   3.7843200e+04   0.0000000e+00
   8.9056390e-01  -6.0740000e-04   3.7843200e+04   0.0000000e+00
   8.9553760e-01  -6.4840000e-04   3.7843200e+04   0.0000000e+00
   9.0053600e-01  -5.4170000e-04   3.7843200e+04   0.0000000e+00
   9.0554260e-01  -5.8270000e-04   3.7846200e+04   0.0000000e+00
   9.1049170e-01  -5.4170000e-04   3.7846200e+04   0.0000000e+00
   9.1548190e-01  -5.4990000e-04   3.7846200e+04   0.0000000e+00
   9.2043920e-01  -5.0890000e-04   3.7846200e+04   0.0000000e+00
   9.2540470e-01  -5.2530000e-04   3.7843200e+04   0.0000000e+00
   9.3039490e-01  -5.0070000e-04   3.7843200e+04   0.0000000e+00
   9.3536040e-01  -4.4320000e-04   3.7843200e+04   0.0000000e+00
   9.4034240e-01  -4.9240000e-04   3.7843200e+04   0.0000000e+00
   9.4533260e-01  -4.5140000e-04   3.7843200e+04   0.0000000e+00
   9.5067570e-01  -4.7600000e-04   3.7843200e+04   0.0000000e+00
   9.5562480e-01  -4.1040000e-04   3.7846200e+04   0.0000000e+00
   9.6063140e-01  -3.9400000e-04   3.7849100e+04   0.0000000e+00
   9.6561340e-01  -4.1040000e-04   3.7849100e+04   0.0000000e+00
   9.7057070e-01  -3.2830000e-04   3.7849100e+04   0.0000000e+00
   9.7550340e-01  -3.6110000e-04   3.7849100e+04   0.0000000e+00
