   4.0100000e+02   4.0000000e-03   1.0000000e-07
  -9.9177140e-01  -2.1789826e+00   2.8294500e+04   0.0000000e+00
  -9.8687840e-01  -2.1675007e+00   2.8294500e+04   0.0000000e+00
  -9.8199620e-01  -2.1559756e+00   2.8297500e+04   0.0000000e+00
  -9.7698440e-01  -2.1436837e+00   2.8300500e+04   0.0000000e+00
  -9.7203730e-01  -2.1320506e+00   2.8306400e+04   0.0000000e+00
  -9.6710110e-01  -2.1205256e+00   2.8309400e+04   0.0000000e+00
  -9.6214330e-01  -2.1091193e+00   2.8315400e+04   0.0000000e+00
  -9.5722870e-01  -2.0974538e+00   2.8321300e+04   0.0000000e+00
  -9.5233560e-01  -2.0857453e+00   2.8324300e+04   0.0000000e+00
  -9.4741020e-01  -2.0740906e+00   2.8327300e+04   0.0000000e+00
  -9.4247400e-01  -2.0622847e+00   2.8333300e+04   0.0000000e+00
  -9.3753780e-01  -2.0504896e+00   2.8336200e+04   0.0000000e+00
  -9.3228840e-01  -2.0382733e+00   2.8339200e+04   0.0000000e+00
  -9.2734140e-01  -2.0264998e+00   2.8342200e+04   0.0000000e+00
  -9.2240510e-01  -2.0149963e+00   2.8345200e+04   0.0000000e+00
  -9.1749050e-01  -2.0032984e+00   2.8348200e+04   0.0000000e+00
  -9.1255430e-01  -1.9917410e+00   2.8351100e+04   0.0000000e+00
  -9.0761810e-01  -1.9799997e+00   2.8354100e+04   0.0000000e+00
  -9.0267110e-01  -1.9682478e+00   2.8357100e+04   0.0000000e+00
  -8.9775640e-01  -1.9565931e+00   2.8360100e+04   0.0000000e+00
  -8.9283100e-01  -1.9448088e+00   2.8363100e+04   0.0000000e+00
  -8.8793800e-01  -1.9330786e+00   2.8366000e+04   0.0000000e+00
  -8.8295860e-01  -1.9213375e+00   2.8369000e+04   0.0000000e+00
  -8.7801150e-01  -1.9096720e+00   2.8372000e+04   0.0000000e+00
  -8.7275130e-01  -1.8970884e+00   2.8375000e+04   0.0000000e+00
  -8.6786910e-01  -1.8856390e+00   2.8378000e+04   0.0000000e+00
  -8.6295440e-01  -1.8740060e+00   2.8378000e+04   0.0000000e+00
  -8.5806140e-01  -1.8623405e+00   2.8380900e+04   0.0000000e+00
  -8.5308200e-01  -1.8506858e+00   2.8383900e+04   0.0000000e+00
  -8.4816740e-01  -1.8389772e+00   2.8383900e+04   0.0000000e+00
  -8.4325270e-01  -1.8274521e+00   2.8389900e+04   0.0000000e+00
  -8.3832730e-01  -1.8157758e+00   2.8389900e+04   0.0000000e+00
  -8.3334790e-01  -1.8039483e+00   2.8392900e+04   0.0000000e+00
  -8.2840070e-01  -1.7927257e+00   2.8392900e+04   0.0000000e+00
  -8.2345360e-01  -1.7810386e+00   2.8395800e+04   0.0000000e+00
  -8.1821500e-01  -1.7683900e+00   2.8395800e+04   0.0000000e+00
  -8.1326790e-01  -1.7567570e+00   2.8398800e+04   0.0000000e+00
  -8.0837490e-01  -1.7452319e+00   2.8398800e+04   0.0000000e+00
  -8.0342790e-01  -1.7333936e+00   2.8398800e+04   0.0000000e+00
  -7.9850250e-01  -1.7217497e+00   2.8398800e+04   0.0000000e+00
  -7.9358790e-01  -1.7100951e+00   2.8401800e+04   0.0000000e+00
  -7.8867320e-01  -1.6982892e+00   2.8404800e+04   0.0000000e+00
  -7.8370460e-01  -1.6866561e+00   2.8404800e+04   0.0000000e+00
  -7.7879000e-01  -1.6747098e+00   2.8404800e+04   0.0000000e+00
  -7.7386460e-01  -1.6628716e+00   2.8407800e+04   0.0000000e+00
  -7.6892830e-01  -1.6511845e+00   2.8407800e+04   0.0000000e+00
  -7.6403530e-01  -1.6394542e+00   2.8407800e+04   0.0000000e+00
  -7.5868860e-01  -1.6264926e+00   2.8410700e+04   0.0000000e+00
  -7.5376320e-01  -1.6149459e+00   2.8410700e+04   0.0000000e+00
  -7.4892420e-01  -1.6036477e+00   2.8410700e+04   0.0000000e+00
  -7.4397720e-01  -1.5918418e+00   2.8413700e+04   0.0000000e+00
  -7.3905180e-01  -1.5801115e+00   2.8413700e+04   0.0000000e+00
  -7.3412630e-01  -1.5684460e+00   2.8413700e+04   0.0000000e+00
  -7.2922250e-01  -1.5567805e+00   2.8416700e+04   0.0000000e+00
  -7.2427550e-01  -1.5450826e+00   2.8416700e+04   0.0000000e+00
  -7.1931770e-01  -1.5333307e+00   2.8419700e+04   0.0000000e+00
  -7.1443540e-01  -1.5215464e+00   2.8419700e+04   0.0000000e+00
  -7.0940200e-01  -1.5095677e+00   2.8419700e+04   0.0000000e+00
  -7.0449820e-01  -1.4978158e+00   2.8419700e+04   0.0000000e+00
