   3.0100000e+02   4.0000000e-03   1.0000000e-07
  -1.9834570e-01  -2.3118200e-01   1.5488400e+04   0.0000000e+00
  -1.9735200e-01  -2.2761760e-01   1.5491300e+04   0.0000000e+00
  -1.9637980e-01  -2.2392350e-01   1.5494300e+04   0.0000000e+00
  -1.9537530e-01  -2.2016460e-01   1.5497300e+04   0.0000000e+00
  -1.9439240e-01  -2.1616810e-01   1.5500300e+04   0.0000000e+00
  -1.9337710e-01  -2.1235530e-01   1.5506200e+04   0.0000000e+00
  -1.9241570e-01  -2.0830470e-01   1.5512200e+04   0.0000000e+00
  -1.9142200e-01  -2.0463230e-01   1.5515200e+04   0.0000000e+00
  -1.9041750e-01  -2.0070040e-01   1.5518200e+04   0.0000000e+00
  -1.8944540e-01  -1.9673630e-01   1.5521100e+04   0.0000000e+00
  -1.8844080e-01  -1.9292340e-01   1.5527100e+04   0.0000000e+00
  -1.8745790e-01  -1.8909970e-01   1.5530100e+04   0.0000000e+00
  -1.8645340e-01  -1.8509240e-01   1.5536000e+04   0.0000000e+00
  -1.8547050e-01  -1.8079350e-01   1.5542000e+04   0.0000000e+00
  -1.8448750e-01  -1.7719660e-01   1.5545000e+04   0.0000000e+00
  -1.8347220e-01  -1.7331890e-01   1.5548000e+04   0.0000000e+00
  -1.8246770e-01  -1.6853390e-01   1.5553900e+04   0.0000000e+00
  -1.8150640e-01  -1.6472100e-01   1.5556900e+04   0.0000000e+00
  -1.8048020e-01  -1.6047610e-01   1.5559900e+04   0.0000000e+00
  -1.7949730e-01  -1.5631760e-01   1.5562900e+04   0.0000000e+00
  -1.7853600e-01  -1.5216980e-01   1.5568800e+04   0.0000000e+00
  -1.7753150e-01  -1.4788170e-01   1.5571800e+04   0.0000000e+00
  -1.7653770e-01  -1.4362600e-01   1.5574800e+04   0.0000000e+00
  -1.7553320e-01  -1.4021270e-01   1.5577800e+04   0.0000000e+00
  -1.7457190e-01  -1.3580580e-01   1.5583700e+04   0.0000000e+00
  -1.7357820e-01  -1.3095600e-01   1.5586700e+04   0.0000000e+00
  -1.7256280e-01  -1.2684060e-01   1.5589700e+04   0.0000000e+00
  -1.7156910e-01  -1.2236890e-01   1.5595600e+04   0.0000000e+00
  -1.7058620e-01  -1.1798350e-01   1.5598600e+04   0.0000000e+00
