   6.0100000e+02   4.0000000e-03   1.0000000e-07
  -3.4705910e-01  -8.6452713e+00   1.1203500e+04   0.0000000e+00
  -3.4608700e-01  -8.6105665e+00   1.1204200e+04   0.0000000e+00
  -3.4510400e-01  -8.5841254e+00   1.1205000e+04   0.0000000e+00
  -3.4409950e-01  -8.5537411e+00   1.1206500e+04   0.0000000e+00
  -3.4310580e-01  -8.5167896e+00   1.1208700e+04   0.0000000e+00
  -3.4212290e-01  -8.4841590e+00   1.1210200e+04   0.0000000e+00
  -3.4112910e-01  -8.4685726e+00   1.1211700e+04   0.0000000e+00
  -3.4014620e-01  -8.4306274e+00   1.1213900e+04   0.0000000e+00
  -3.3913090e-01  -8.3935032e+00   1.1216200e+04   0.0000000e+00
  -3.3815880e-01  -8.3651502e+00   1.1217600e+04   0.0000000e+00
  -3.3717580e-01  -8.3344419e+00   1.1219900e+04   0.0000000e+00
  -3.3616050e-01  -8.3029559e+00   1.1222100e+04   0.0000000e+00
  -3.3521000e-01  -8.2704119e+00   1.1223600e+04   0.0000000e+00
  -3.3420550e-01  -8.2339681e+00   1.1226600e+04   0.0000000e+00
  -3.3320090e-01  -8.2084985e+00   1.1228800e+04   0.0000000e+00
  -3.3219640e-01  -8.1706293e+00   1.1230300e+04   0.0000000e+00
  -3.3121350e-01  -8.1423621e+00   1.1232500e+04   0.0000000e+00
  -3.3024140e-01  -8.1113514e+00   1.1234800e+04   0.0000000e+00
  -3.2923680e-01  -8.0776727e+00   1.1235500e+04   0.0000000e+00
  -3.2824310e-01  -8.0358503e+00   1.1237800e+04   0.0000000e+00
  -3.2724940e-01  -8.0053257e+00   1.1239200e+04   0.0000000e+00
  -3.2625570e-01  -7.9762052e+00   1.1241500e+04   0.0000000e+00
  -3.2526190e-01  -7.9472470e+00   1.1243000e+04   0.0000000e+00
  -3.2428980e-01  -7.9069579e+00   1.1245200e+04   0.0000000e+00
  -3.2329610e-01  -7.8744350e+00   1.1247400e+04   0.0000000e+00
  -3.2229160e-01  -7.8445806e+00   1.1248900e+04   0.0000000e+00
  -3.2131940e-01  -7.7985668e+00   1.1251900e+04   0.0000000e+00
  -3.2032570e-01  -7.7715634e+00   1.1254100e+04   0.0000000e+00
  -3.1933200e-01  -7.7410498e+00   1.1256400e+04   0.0000000e+00
  -3.1832750e-01  -7.7121346e+00   1.1258600e+04   0.0000000e+00
  -3.1732290e-01  -7.6683891e+00   1.1260900e+04   0.0000000e+00
  -3.1635080e-01  -7.6346351e+00   1.1262300e+04   0.0000000e+00
  -3.1535710e-01  -7.5928986e+00   1.1265300e+04   0.0000000e+00
  -3.1437420e-01  -7.5676126e+00   1.1266800e+04   0.0000000e+00
  -3.1340200e-01  -7.5297327e+00   1.1269800e+04   0.0000000e+00
  -3.1237590e-01  -7.4998237e+00   1.1272000e+04   0.0000000e+00
  -3.1139300e-01  -7.4671928e+00   1.1274300e+04   0.0000000e+00
  -3.1038850e-01  -7.4265692e+00   1.1276500e+04   0.0000000e+00
