   7.5100000e+02   2.0000000e-04   1.0000000e-08
  -1.4016080e+00  -1.0000777e+00   1.2738400e+04   0.0000000e+00
  -1.3998042e+00  -9.9310000e-01   1.2739100e+04   0.0000000e+00
  -1.3976764e+00  -9.8215820e-01   1.2740600e+04   0.0000000e+00
  -1.3955701e+00  -9.7900420e-01   1.2742800e+04   0.0000000e+00
  -1.3937879e+00  -9.7793490e-01   1.2743600e+04   0.0000000e+00
  -1.3916276e+00  -9.7206970e-01   1.2745100e+04   0.0000000e+00
  -1.3894781e+00  -9.8318430e-01   1.2747300e+04   0.0000000e+00
  -1.3877283e+00  -9.5801720e-01   1.2748800e+04   0.0000000e+00
  -1.3856112e+00  -9.6975820e-01   1.2750300e+04   0.0000000e+00
  -1.3838074e+00  -9.6389310e-01   1.2751800e+04   0.0000000e+00
  -1.3816579e+00  -9.5291890e-01   1.2754000e+04   0.0000000e+00
  -1.3795085e+00  -9.4775590e-01   1.2755500e+04   0.0000000e+00
  -1.3777586e+00  -9.3640370e-01   1.2756200e+04   0.0000000e+00
  -1.3756524e+00  -9.2973930e-01   1.2758500e+04   0.0000000e+00
  -1.3735137e+00  -9.1747970e-01   1.2760000e+04   0.0000000e+00
  -1.3717099e+00  -9.1881910e-01   1.2761400e+04   0.0000000e+00
  -1.3695604e+00  -9.1317000e-01   1.2763700e+04   0.0000000e+00
  -1.3674649e+00  -9.0775850e-01   1.2765900e+04   0.0000000e+00
  -1.3656719e+00  -9.0556580e-01   1.2768200e+04   0.0000000e+00
  -1.3635224e+00  -9.0162330e-01   1.2769600e+04   0.0000000e+00
  -1.3618050e+00  -8.9253940e-01   1.2771900e+04   0.0000000e+00
  -1.3596663e+00  -8.8075510e-01   1.2774100e+04   0.0000000e+00
  -1.3575709e+00  -8.7805470e-01   1.2774900e+04   0.0000000e+00
  -1.3557237e+00  -8.8440590e-01   1.2776300e+04   0.0000000e+00
  -1.3536175e+00  -8.7972900e-01   1.2778600e+04   0.0000000e+00
  -1.3514680e+00  -8.8495680e-01   1.2780100e+04   0.0000000e+00
  -1.3497290e+00  -8.7769830e-01   1.2781600e+04   0.0000000e+00
  -1.3476011e+00  -8.6805270e-01   1.2783800e+04   0.0000000e+00
  -1.3454733e+00  -8.5509100e-01   1.2786000e+04   0.0000000e+00
  -1.3436262e+00  -8.5626840e-01   1.2787500e+04   0.0000000e+00
  -1.3414983e+00  -8.5721890e-01   1.2789800e+04   0.0000000e+00
  -1.3397485e+00  -8.5200180e-01   1.2792000e+04   0.0000000e+00
  -1.3376207e+00  -8.4556420e-01   1.2793500e+04   0.0000000e+00
  -1.3355036e+00  -8.3888900e-01   1.2795000e+04   0.0000000e+00
  -1.3336890e+00  -8.3433080e-01   1.2797200e+04   0.0000000e+00
  -1.3315611e+00  -8.2689930e-01   1.2798700e+04   0.0000000e+00
  -1.3294332e+00  -8.3697710e-01   1.2800200e+04   0.0000000e+00
  -1.3277050e+00  -8.2343200e-01   1.2802400e+04   0.0000000e+00
  -1.3255663e+00  -8.1943550e-01   1.2804700e+04   0.0000000e+00
  -1.3237301e+00  -8.1223100e-01   1.2806200e+04   0.0000000e+00
  -1.3216130e+00  -8.1961910e-01   1.2808400e+04   0.0000000e+00
  -1.3195284e+00  -8.0306070e-01   1.2809900e+04   0.0000000e+00
  -1.3177353e+00  -8.0180770e-01   1.2811400e+04   0.0000000e+00
  -1.3155427e+00  -7.9535930e-01   1.2812100e+04   0.0000000e+00
  -1.3134256e+00  -7.9061750e-01   1.2814300e+04   0.0000000e+00
  -1.3116974e+00  -7.8883530e-01   1.2815800e+04   0.0000000e+00
  -1.3095263e+00  -7.8034540e-01   1.2817300e+04   0.0000000e+00
  -1.3074200e+00  -7.7891960e-01   1.2818800e+04   0.0000000e+00
  -1.3056810e+00  -7.7805550e-01   1.2821100e+04   0.0000000e+00
  -1.3035640e+00  -7.6799940e-01   1.2823300e+04   0.0000000e+00
  -1.3017277e+00  -7.6618480e-01   1.2824800e+04   0.0000000e+00
  -1.2996107e+00  -7.5937990e-01   1.2827000e+04   0.0000000e+00
  -1.2974720e+00  -7.5157050e-01   1.2829200e+04   0.0000000e+00
  -1.2957654e+00  -7.5751130e-01   1.2831500e+04   0.0000000e+00
  -1.2936159e+00  -7.4233540e-01   1.2832200e+04   0.0000000e+00
  -1.2914880e+00  -7.4923740e-01   1.2833700e+04   0.0000000e+00
  -1.2896518e+00  -7.2493440e-01   1.2835200e+04   0.0000000e+00
  -1.2875131e+00  -7.3058350e-01   1.2836700e+04   0.0000000e+00
  -1.2854069e+00  -7.2861760e-01   1.2837400e+04   0.0000000e+00
  -1.2836462e+00  -7.3348910e-01   1.2839700e+04   0.0000000e+00
  -1.2815292e+00  -7.1861560e-01   1.2841200e+04   0.0000000e+00
  -1.2797037e+00  -7.1365770e-01   1.2842700e+04   0.0000000e+00
  -1.2775759e+00  -7.1493230e-01   1.2844100e+04   0.0000000e+00
  -1.2754372e+00  -7.0117140e-01   1.2844900e+04   0.0000000e+00
  -1.2737198e+00  -7.0886190e-01   1.2846400e+04   0.0000000e+00
  -1.2715703e+00  -7.0180870e-01   1.2847900e+04   0.0000000e+00
  -1.2694424e+00  -6.9344840e-01   1.2850100e+04   0.0000000e+00
  -1.2676278e+00  -6.9127730e-01   1.2850900e+04   0.0000000e+00
  -1.2654891e+00  -6.8243100e-01   1.2853100e+04   0.0000000e+00
  -1.2633505e+00  -6.7923380e-01   1.2854600e+04   0.0000000e+00
  -1.2616438e+00  -6.8631950e-01   1.2856800e+04   0.0000000e+00
  -1.2594944e+00  -6.7616620e-01   1.2857600e+04   0.0000000e+00
  -1.2576905e+00  -6.8402960e-01   1.2859800e+04   0.0000000e+00
  -1.2555303e+00  -6.6472760e-01   1.2862000e+04   0.0000000e+00
  -1.2534024e+00  -6.5568680e-01   1.2863500e+04   0.0000000e+00
  -1.2516416e+00  -6.6337740e-01   1.2865800e+04   0.0000000e+00
  -1.2495353e+00  -6.5515760e-01   1.2867200e+04   0.0000000e+00
  -1.2473642e+00  -6.4975690e-01   1.2869500e+04   0.0000000e+00
  -1.2456360e+00  -6.4639760e-01   1.2871000e+04   0.0000000e+00
  -1.2435082e+00  -6.4147220e-01   1.2872500e+04   0.0000000e+00
  -1.2416611e+00  -6.3232350e-01   1.2874700e+04   0.0000000e+00
  -1.2395333e+00  -6.3192380e-01   1.2875400e+04   0.0000000e+00
  -1.2373838e+00  -6.3265830e-01   1.2877700e+04   0.0000000e+00
  -1.2356772e+00  -6.3302560e-01   1.2879900e+04   0.0000000e+00
  -1.2335277e+00  -6.1734180e-01   1.2882100e+04   0.0000000e+00
  -1.2314214e+00  -6.2736560e-01   1.2883600e+04   0.0000000e+00
  -1.2295852e+00  -6.1869190e-01   1.2885100e+04   0.0000000e+00
  -1.2274465e+00  -6.1240550e-01   1.2887400e+04   0.0000000e+00
  -1.2253295e+00  -6.0697250e-01   1.2888100e+04   0.0000000e+00
  -1.2235904e+00  -6.0640000e-01   1.2889600e+04   0.0000000e+00
  -1.2214302e+00  -6.0202540e-01   1.2890300e+04   0.0000000e+00
  -1.2196479e+00  -6.0012440e-01   1.2892600e+04   0.0000000e+00
  -1.2174985e+00  -6.0199300e-01   1.2894100e+04   0.0000000e+00
  -1.2153598e+00  -5.9955190e-01   1.2894800e+04   0.0000000e+00
  -1.2136316e+00  -6.0373200e-01   1.2896300e+04   0.0000000e+00
  -1.2114605e+00  -5.8676310e-01   1.2897800e+04   0.0000000e+00
  -1.2093326e+00  -5.8546690e-01   1.2899300e+04   0.0000000e+00
  -1.2075720e+00  -5.8149200e-01   1.2900800e+04   0.0000000e+00
  -1.2054549e+00  -5.7447110e-01   1.2902300e+04   0.0000000e+00
  -1.2033163e+00  -5.7102550e-01   1.2903800e+04   0.0000000e+00
  -1.2014908e+00  -5.7977460e-01   1.2906000e+04   0.0000000e+00
  -1.1993522e+00  -5.7312100e-01   1.2907500e+04   0.0000000e+00
  -1.1976348e+00  -5.7842440e-01   1.2909000e+04   0.0000000e+00
  -1.1954637e+00  -5.6130430e-01   1.2911200e+04   0.0000000e+00
  -1.1933466e+00  -5.6062380e-01   1.2913400e+04   0.0000000e+00
  -1.1915212e+00  -5.5584960e-01   1.2914200e+04   0.0000000e+00
  -1.1894365e+00  -5.5544990e-01   1.2916400e+04   0.0000000e+00
  -1.1872654e+00  -5.5374330e-01   1.2917900e+04   0.0000000e+00
  -1.1855372e+00  -5.4926080e-01   1.2919400e+04   0.0000000e+00
  -1.1834094e+00  -5.4330920e-01   1.2920900e+04   0.0000000e+00
  -1.1816811e+00  -5.3918310e-01   1.2922400e+04   0.0000000e+00
  -1.1795425e+00  -5.3301550e-01   1.2923900e+04   0.0000000e+00
  -1.1774038e+00  -5.2572460e-01   1.2924600e+04   0.0000000e+00
  -1.1756108e+00  -5.3790850e-01   1.2926100e+04   0.0000000e+00
  -1.1735045e+00  -5.2556260e-01   1.2926900e+04   0.0000000e+00
  -1.1713766e+00  -5.2605940e-01   1.2928300e+04   0.0000000e+00
  -1.1696160e+00  -5.1753720e-01   1.2929800e+04   0.0000000e+00
  -1.1674881e+00  -5.1291430e-01   1.2931300e+04   0.0000000e+00
  -1.1653495e+00  -5.0695190e-01   1.2932800e+04   0.0000000e+00
  -1.1635348e+00  -5.1174770e-01   1.2934300e+04   0.0000000e+00
  -1.1613962e+00  -5.0689790e-01   1.2936500e+04   0.0000000e+00
  -1.1596572e+00  -4.9944500e-01   1.2938800e+04   0.0000000e+00
  -1.1574969e+00  -4.9645300e-01   1.2939500e+04   0.0000000e+00
  -1.1553690e+00  -4.9649620e-01   1.2941800e+04   0.0000000e+00
  -1.1535652e+00  -4.9370940e-01   1.2944000e+04   0.0000000e+00
  -1.1514589e+00  -4.8861120e-01   1.2946200e+04   0.0000000e+00
  -1.1492662e+00  -4.9207840e-01   1.2948500e+04   0.0000000e+00
  -1.1475272e+00  -4.8513320e-01   1.2950700e+04   0.0000000e+00
  -1.1453670e+00  -4.9046900e-01   1.2952200e+04   0.0000000e+00
  -1.1432176e+00  -4.7625440e-01   1.2953700e+04   0.0000000e+00
  -1.1414894e+00  -4.8470110e-01   1.2955200e+04   0.0000000e+00
  -1.1393831e+00  -4.7340290e-01   1.2956700e+04   0.0000000e+00
  -1.1375253e+00  -4.7722660e-01   1.2958100e+04   0.0000000e+00
  -1.1354190e+00  -4.6669520e-01   1.2958900e+04   0.0000000e+00
  -1.1332803e+00  -4.6691120e-01   1.2960400e+04   0.0000000e+00
  -1.1315305e+00  -4.5818370e-01   1.2961900e+04   0.0000000e+00
  -1.1294350e+00  -4.5599110e-01   1.2963400e+04   0.0000000e+00
  -1.1272856e+00  -4.4858130e-01   1.2964100e+04   0.0000000e+00
  -1.1254925e+00  -4.4789000e-01   1.2965600e+04   0.0000000e+00
  -1.1234079e+00  -4.4514650e-01   1.2967100e+04   0.0000000e+00
  -1.1212800e+00  -4.4568660e-01   1.2968600e+04   0.0000000e+00
  -1.1194222e+00  -4.3715350e-01   1.2970100e+04   0.0000000e+00
