   2.1100000e+02   2.0000000e-04   1.0000000e-09
  -1.9022515e+00  -4.7925117e+00   2.8419700e+04   0.0000000e+00
  -1.8923466e+00  -4.5364655e+00   2.8419700e+04   0.0000000e+00
  -1.8820853e+00  -4.3250616e+00   2.8419700e+04   0.0000000e+00
  -1.8721374e+00  -4.2985334e+00   2.8419700e+04   0.0000000e+00
  -1.8621893e+00  -4.0267497e+00   2.8422700e+04   0.0000000e+00
  -1.8523601e+00  -3.9932979e+00   2.8422700e+04   0.0000000e+00
  -1.8423904e+00  -3.7453744e+00   2.8419700e+04   0.0000000e+00
  -1.8324747e+00  -3.6423403e+00   2.8419700e+04   0.0000000e+00
  -1.8221486e+00  -3.5006804e+00   2.8419700e+04   0.0000000e+00
  -1.8122006e+00  -3.4125089e+00   2.8419700e+04   0.0000000e+00
  -1.8022417e+00  -3.2257642e+00   2.8419700e+04   0.0000000e+00
  -1.7922613e+00  -3.0638411e+00   2.8419700e+04   0.0000000e+00
  -1.7823132e+00  -2.9670826e+00   2.8419700e+04   0.0000000e+00
  -1.7723649e+00  -2.9278952e+00   2.8419700e+04   0.0000000e+00
  -1.7620928e+00  -2.7891517e+00   2.8419700e+04   0.0000000e+00
  -1.7521232e+00  -2.7099452e+00   2.8419700e+04   0.0000000e+00
  -1.7420995e+00  -2.5767321e+00   2.8419700e+04   0.0000000e+00
  -1.7321839e+00  -2.4541473e+00   2.8419700e+04   0.0000000e+00
  -1.7222790e+00  -2.3744117e+00   2.8419700e+04   0.0000000e+00
  -1.7119097e+00  -2.3075404e+00   2.8419700e+04   0.0000000e+00
  -1.7019400e+00  -2.2177488e+00   2.8422700e+04   0.0000000e+00
  -1.6920352e+00  -2.1340921e+00   2.8422700e+04   0.0000000e+00
  -1.6820331e+00  -2.1257966e+00   2.8422700e+04   0.0000000e+00
  -1.6722039e+00  -1.9819871e+00   2.8422700e+04   0.0000000e+00
  -1.6622667e+00  -1.9178378e+00   2.8422700e+04   0.0000000e+00
  -1.6519190e+00  -1.8907696e+00   2.8422700e+04   0.0000000e+00
  -1.6419493e+00  -1.8642956e+00   2.8422700e+04   0.0000000e+00
  -1.6320337e+00  -1.7432120e+00   2.8422700e+04   0.0000000e+00
  -1.6220532e+00  -1.6979219e+00   2.8422700e+04   0.0000000e+00
  -1.6121160e+00  -1.6549434e+00   2.8422700e+04   0.0000000e+00
  -1.6021355e+00  -1.6059916e+00   2.8422700e+04   0.0000000e+00
  -1.5918526e+00  -1.4941650e+00   2.8422700e+04   0.0000000e+00
  -1.5819045e+00  -1.4534762e+00   2.8422700e+04   0.0000000e+00
  -1.5719889e+00  -1.4198192e+00   2.8422700e+04   0.0000000e+00
  -1.5619759e+00  -1.3575709e+00   2.8422700e+04   0.0000000e+00
  -1.5520387e+00  -1.3210298e+00   2.8422700e+04   0.0000000e+00
  -1.5421338e+00  -1.2944044e+00   2.8422700e+04   0.0000000e+00
  -1.5317645e+00  -1.2439294e+00   2.8422700e+04   0.0000000e+00
  -1.5218489e+00  -1.1997302e+00   2.8422700e+04   0.0000000e+00
  -1.5118792e+00  -1.1508972e+00   2.8422700e+04   0.0000000e+00
  -1.5019311e+00  -1.1400204e+00   2.8422700e+04   0.0000000e+00
  -1.4919723e+00  -1.0832592e+00   2.8422700e+04   0.0000000e+00
  -1.4820350e+00  -1.0468802e+00   2.8422700e+04   0.0000000e+00
  -1.4716981e+00  -1.0080923e+00   2.8422700e+04   0.0000000e+00
