   4.0100000e+02   4.0000000e-03   1.0000000e-07
  -9.9165260e-01  -2.1620352e+00   2.3660200e+04   0.0000000e+00
  -9.8668400e-01  -2.1502833e+00   2.3663100e+04   0.0000000e+00
  -9.8183420e-01  -2.1385638e+00   2.3663100e+04   0.0000000e+00
  -9.7682230e-01  -2.1263907e+00   2.3666100e+04   0.0000000e+00
  -9.7187530e-01  -2.1145308e+00   2.3672100e+04   0.0000000e+00
  -9.6693910e-01  -2.1023037e+00   2.3675100e+04   0.0000000e+00
  -9.6201370e-01  -2.0904439e+00   2.3678000e+04   0.0000000e+00
  -9.5707740e-01  -2.0782923e+00   2.3681000e+04   0.0000000e+00
  -9.5215200e-01  -2.0662596e+00   2.3684000e+04   0.0000000e+00
  -9.4722660e-01  -2.0540001e+00   2.3687000e+04   0.0000000e+00
  -9.4230120e-01  -2.0419025e+00   2.3690000e+04   0.0000000e+00
  -9.3736490e-01  -2.0300858e+00   2.3692900e+04   0.0000000e+00
  -9.3212640e-01  -2.0172430e+00   2.3692900e+04   0.0000000e+00
  -9.2716860e-01  -2.0051455e+00   2.3695900e+04   0.0000000e+00
  -9.2227550e-01  -1.9934692e+00   2.3695900e+04   0.0000000e+00
  -9.1735010e-01  -1.9812094e+00   2.3698900e+04   0.0000000e+00
  -9.1238150e-01  -1.9692307e+00   2.3701900e+04   0.0000000e+00
  -9.0744530e-01  -1.9571332e+00   2.3701900e+04   0.0000000e+00
  -9.0253060e-01  -1.9450681e+00   2.3704900e+04   0.0000000e+00
  -8.9759440e-01  -1.9333702e+00   2.3707800e+04   0.0000000e+00
  -8.9267980e-01  -1.9212943e+00   2.3707800e+04   0.0000000e+00
  -8.8776520e-01  -1.9095208e+00   2.3710800e+04   0.0000000e+00
  -8.8282890e-01  -1.8975745e+00   2.3713800e+04   0.0000000e+00
  -8.7788190e-01  -1.8856066e+00   2.3716800e+04   0.0000000e+00
  -8.7258920e-01  -1.8725262e+00   2.3716800e+04   0.0000000e+00
  -8.6771780e-01  -1.8606339e+00   2.3719800e+04   0.0000000e+00
  -8.6279240e-01  -1.8488712e+00   2.3719800e+04   0.0000000e+00
  -8.5786700e-01  -1.8368277e+00   2.3719800e+04   0.0000000e+00
