   4.1000000e+01   4.0000000e-03   1.0000000e-07
  -9.9164180e-01  -2.5439391e+00   2.2849500e+04   0.0000000e+00
  -9.4229040e-01  -2.4065996e+00   2.2849500e+04   0.0000000e+00
  -8.9265820e-01  -2.2678779e+00   2.2852500e+04   0.0000000e+00
  -8.4304750e-01  -2.1289830e+00   2.2852500e+04   0.0000000e+00
  -7.9339340e-01  -1.9896455e+00   2.2858500e+04   0.0000000e+00
  -7.4378280e-01  -1.8498973e+00   2.2858500e+04   0.0000000e+00
  -6.9416130e-01  -1.7102031e+00   2.2861500e+04   0.0000000e+00
  -6.4478820e-01  -1.5702391e+00   2.2861500e+04   0.0000000e+00
  -5.9522060e-01  -1.4295728e+00   2.2864400e+04   0.0000000e+00
  -5.4543710e-01  -1.2871027e+00   2.2864400e+04   0.0000000e+00
  -4.9581570e-01  -1.1441141e+00   2.2867400e+04   0.0000000e+00
  -4.4623740e-01  -9.9996970e-01   2.2867400e+04   0.0000000e+00
  -3.9665900e-01  -8.5420530e-01   2.2867400e+04   0.0000000e+00
  -3.4706990e-01  -7.0603200e-01   2.2870400e+04   0.0000000e+00
  -2.9750240e-01  -5.5448860e-01   2.2873400e+04   0.0000000e+00
  -2.4792420e-01  -3.9656170e-01   2.2873400e+04   0.0000000e+00
  -1.9833490e-01  -2.2350230e-01   2.2873400e+04   0.0000000e+00
  -1.4875660e-01  -2.4907900e-02   2.2876400e+04   0.0000000e+00
  -9.9178300e-02  -3.9970000e-04   2.2876400e+04   0.0000000e+00
  -4.9589100e-02   5.5090000e-04   2.2879300e+04   0.0000000e+00
  -1.0800000e-05   1.8470000e-03   2.2879300e+04   0.0000000e+00
   4.9578300e-02   2.2229200e-02   2.2879300e+04   0.0000000e+00
   9.9156500e-02   2.1653520e-01   2.2879300e+04   0.0000000e+00
   1.4875640e-01   3.9085840e-01   2.2879300e+04   0.0000000e+00
   1.9830230e-01   5.4921760e-01   2.2882300e+04   0.0000000e+00
   2.4791320e-01   7.0105260e-01   2.2882300e+04   0.0000000e+00
   2.9748060e-01   8.4907470e-01   2.2885300e+04   0.0000000e+00
   3.4704810e-01   9.9432070e-01   2.2888300e+04   0.0000000e+00
   3.9663720e-01   1.1378603e+00   2.2888300e+04   0.0000000e+00
   4.4617240e-01   1.2802766e+00   2.2888300e+04   0.0000000e+00
   4.9571830e-01   1.4215804e+00   2.2891300e+04   0.0000000e+00
   5.4527510e-01   1.5622574e+00   2.2891300e+04   0.0000000e+00
   5.9476690e-01   1.7023191e+00   2.2894200e+04   0.0000000e+00
   6.4471260e-01   1.8430071e+00   2.2897200e+04   0.0000000e+00
   6.9401010e-01   1.9815995e+00   2.2900200e+04   0.0000000e+00
   7.4355590e-01   2.1206783e+00   2.2903200e+04   0.0000000e+00
   7.9327460e-01   2.2601027e+00   2.2903200e+04   0.0000000e+00
   8.4276670e-01   2.3986411e+00   2.2903200e+04   0.0000000e+00
   8.9235570e-01   2.5375687e+00   2.2903200e+04   0.0000000e+00
   9.4205280e-01   2.6761935e+00   2.2906200e+04   0.0000000e+00
   9.9137200e-01   2.8138680e+00   2.2909100e+04   0.0000000e+00
