   2.1100000e+02   2.0000000e-04   1.0000000e-10
  -1.9024675e+00  -3.3544192e+00   2.7954800e+04   0.0000000e+00
  -1.8924870e+00  -3.2305492e+00   2.7954800e+04   0.0000000e+00
  -1.8821825e+00  -3.2039779e+00   2.7954800e+04   0.0000000e+00
  -1.8722022e+00  -3.1264782e+00   2.7957700e+04   0.0000000e+00
  -1.8622325e+00  -3.0158832e+00   2.7966700e+04   0.0000000e+00
  -1.8524033e+00  -2.8884810e+00   2.7972600e+04   0.0000000e+00
  -1.8424120e+00  -2.8272048e+00   2.7981600e+04   0.0000000e+00
  -1.8324963e+00  -2.7494243e+00   2.7984600e+04   0.0000000e+00
  -1.8221594e+00  -2.6732638e+00   2.7987500e+04   0.0000000e+00
  -1.8122114e+00  -2.5358705e+00   2.7990500e+04   0.0000000e+00
  -1.8022417e+00  -2.5273806e+00   2.7993500e+04   0.0000000e+00
  -1.7922721e+00  -2.4433891e+00   2.7993500e+04   0.0000000e+00
  -1.7823024e+00  -2.3106620e+00   2.7996500e+04   0.0000000e+00
  -1.7723541e+00  -2.2107495e+00   2.7993500e+04   0.0000000e+00
  -1.7620820e+00  -2.2253637e+00   2.7993500e+04   0.0000000e+00
  -1.7521232e+00  -2.1733658e+00   2.7993500e+04   0.0000000e+00
  -1.7421103e+00  -2.0917507e+00   2.7993500e+04   0.0000000e+00
  -1.7321731e+00  -2.0122960e+00   2.7993500e+04   0.0000000e+00
  -1.7222574e+00  -1.9408447e+00   2.7996500e+04   0.0000000e+00
  -1.7119205e+00  -1.8942693e+00   2.7996500e+04   0.0000000e+00
  -1.7019508e+00  -1.8052013e+00   2.7996500e+04   0.0000000e+00
  -1.6919920e+00  -1.8211009e+00   2.7996500e+04   0.0000000e+00
  -1.6820331e+00  -1.7182609e+00   2.7999500e+04   0.0000000e+00
  -1.6722039e+00  -1.6080547e+00   2.7999500e+04   0.0000000e+00
  -1.6622559e+00  -1.5953847e+00   2.7999500e+04   0.0000000e+00
  -1.6518866e+00  -1.5739115e+00   2.7999500e+04   0.0000000e+00
  -1.6419169e+00  -1.5048151e+00   2.7999500e+04   0.0000000e+00
  -1.6320013e+00  -1.4306745e+00   2.7999500e+04   0.0000000e+00
  -1.6220532e+00  -1.3972227e+00   2.8002400e+04   0.0000000e+00
  -1.6120944e+00  -1.3405262e+00   2.8002400e+04   0.0000000e+00
  -1.6021139e+00  -1.3350283e+00   2.8002400e+04   0.0000000e+00
  -1.5918526e+00  -1.2841431e+00   2.8002400e+04   0.0000000e+00
  -1.5818721e+00  -1.2215922e+00   2.8005400e+04   0.0000000e+00
  -1.5719673e+00  -1.1673369e+00   2.8005400e+04   0.0000000e+00
  -1.5619543e+00  -1.1201783e+00   2.8005400e+04   0.0000000e+00
  -1.5519955e+00  -1.1292514e+00   2.8005400e+04   0.0000000e+00
  -1.5420798e+00  -1.0784418e+00   2.8005400e+04   0.0000000e+00
  -1.5317645e+00  -1.0802888e+00   2.8005400e+04   0.0000000e+00
  -1.5217948e+00  -9.6471400e-01   2.8005400e+04   0.0000000e+00
  -1.5118576e+00  -9.5644020e-01   2.8005400e+04   0.0000000e+00
  -1.5019095e+00  -9.4576840e-01   2.8005400e+04   0.0000000e+00
  -1.4919399e+00  -8.5702450e-01   2.8005400e+04   0.0000000e+00
  -1.4820134e+00  -8.1367840e-01   2.8005400e+04   0.0000000e+00
  -1.4716873e+00  -8.0010110e-01   2.8005400e+04   0.0000000e+00
  -1.4617177e+00  -8.0353590e-01   2.8005400e+04   0.0000000e+00
  -1.4518128e+00  -7.8507640e-01   2.8005400e+04   0.0000000e+00
  -1.4418323e+00  -7.2031140e-01   2.8005400e+04   0.0000000e+00
  -1.4318627e+00  -6.8221500e-01   2.8005400e+04   0.0000000e+00
  -1.4218930e+00  -6.8781010e-01   2.8005400e+04   0.0000000e+00
  -1.4116209e+00  -6.9476620e-01   2.8005400e+04   0.0000000e+00
  -1.4016513e+00  -6.6360420e-01   2.8005400e+04   0.0000000e+00
  -1.3916924e+00  -6.3101650e-01   2.8005400e+04   0.0000000e+00
  -1.3817011e+00  -5.9570660e-01   2.8005400e+04   0.0000000e+00
  -1.3717747e+00  -5.9146170e-01   2.8002400e+04   0.0000000e+00
  -1.3618482e+00  -5.5052450e-01   2.8002400e+04   0.0000000e+00
  -1.3515220e+00  -5.3770330e-01   2.8002400e+04   0.0000000e+00
  -1.3415848e+00  -5.2082080e-01   2.8002400e+04   0.0000000e+00
  -1.3316367e+00  -5.0660630e-01   2.8002400e+04   0.0000000e+00
  -1.3216778e+00  -5.0094640e-01   2.8002400e+04   0.0000000e+00
  -1.3117622e+00  -4.7549830e-01   2.8002400e+04   0.0000000e+00
  -1.3018249e+00  -4.7180430e-01   2.8002400e+04   0.0000000e+00
  -1.2915528e+00  -4.5227540e-01   2.8005400e+04   0.0000000e+00
  -1.2816048e+00  -4.2728100e-01   2.8005400e+04   0.0000000e+00
  -1.2716459e+00  -4.2197760e-01   2.8005400e+04   0.0000000e+00
  -1.2617303e+00  -4.2036820e-01   2.8005400e+04   0.0000000e+00
  -1.2517172e+00  -3.7660080e-01   2.8008400e+04   0.0000000e+00
  -1.2417259e+00  -3.5199530e-01   2.8008400e+04   0.0000000e+00
  -1.2314430e+00  -3.6102530e-01   2.8011400e+04   0.0000000e+00
  -1.2214950e+00  -3.5312950e-01   2.8011400e+04   0.0000000e+00
  -1.2115145e+00  -3.2828630e-01   2.8011400e+04   0.0000000e+00
  -1.2015773e+00  -3.3311450e-01   2.8011400e+04   0.0000000e+00
  -1.1915968e+00  -2.9592540e-01   2.8011400e+04   0.0000000e+00
  -1.1817243e+00  -3.0451250e-01   2.8011400e+04   0.0000000e+00
