   6.0100000e+02   4.0000000e-03   1.0000000e-07
  -3.4710230e-01  -7.2339163e+00   1.0926300e+04   0.0000000e+00
  -3.4610860e-01  -7.2033598e+00   1.0921100e+04   0.0000000e+00
  -3.4511480e-01  -7.1759892e+00   1.0917400e+04   0.0000000e+00
  -3.4411030e-01  -7.1471495e+00   1.0912200e+04   0.0000000e+00
  -3.4312740e-01  -7.1187963e+00   1.0908400e+04   0.0000000e+00
  -3.4214450e-01  -7.0930242e+00   1.0904700e+04   0.0000000e+00
  -3.4113990e-01  -7.0619703e+00   1.0900200e+04   0.0000000e+00
  -3.4014620e-01  -7.0346644e+00   1.0896500e+04   0.0000000e+00
  -3.3914170e-01  -7.0041616e+00   1.0892800e+04   0.0000000e+00
  -3.3818040e-01  -6.9771473e+00   1.0889100e+04   0.0000000e+00
  -3.3717580e-01  -6.9468711e+00   1.0885300e+04   0.0000000e+00
  -3.3619290e-01  -6.9211315e+00   1.0881600e+04   0.0000000e+00
  -3.3519920e-01  -6.8957811e+00   1.0877900e+04   0.0000000e+00
  -3.3421630e-01  -6.8631394e+00   1.0874200e+04   0.0000000e+00
  -3.3320090e-01  -6.8313726e+00   1.0871200e+04   0.0000000e+00
  -3.3221800e-01  -6.8099103e+00   1.0868200e+04   0.0000000e+00
  -3.3125670e-01  -6.7785866e+00   1.0865200e+04   0.0000000e+00
  -3.3024140e-01  -6.7524257e+00   1.0861500e+04   0.0000000e+00
  -3.2923680e-01  -6.7235645e+00   1.0859300e+04   0.0000000e+00
  -3.2822150e-01  -6.6884063e+00   1.0855500e+04   0.0000000e+00
  -3.2726020e-01  -6.6649350e+00   1.0852600e+04   0.0000000e+00
  -3.2626650e-01  -6.6323040e+00   1.0849600e+04   0.0000000e+00
  -3.2527270e-01  -6.6082818e+00   1.0847300e+04   0.0000000e+00
  -3.2427900e-01  -6.5793020e+00   1.0843600e+04   0.0000000e+00
  -3.2329610e-01  -6.5484641e+00   1.0840600e+04   0.0000000e+00
  -3.2229160e-01  -6.5235994e+00   1.0836900e+04   0.0000000e+00
  -3.2131940e-01  -6.4915304e+00   1.0834700e+04   0.0000000e+00
  -3.2034730e-01  -6.4710078e+00   1.0831700e+04   0.0000000e+00
  -3.1934280e-01  -6.4381393e+00   1.0829500e+04   0.0000000e+00
  -3.1834910e-01  -6.4131557e+00   1.0826500e+04   0.0000000e+00
  -3.1733370e-01  -6.3790344e+00   1.0824300e+04   0.0000000e+00
  -3.1635080e-01  -6.3475484e+00   1.0822000e+04   0.0000000e+00
  -3.1535710e-01  -6.3247467e+00   1.0819800e+04   0.0000000e+00
  -3.1436340e-01  -6.2926127e+00   1.0817500e+04   0.0000000e+00
  -3.1340200e-01  -6.2704486e+00   1.0815300e+04   0.0000000e+00
  -3.1238670e-01  -6.2406908e+00   1.0812300e+04   0.0000000e+00
  -3.1140380e-01  -6.2091940e+00   1.0810100e+04   0.0000000e+00
  -3.1039930e-01  -6.1846749e+00   1.0807900e+04   0.0000000e+00
  -3.0941630e-01  -6.1542479e+00   1.0804900e+04   0.0000000e+00
  -3.0843340e-01  -6.1251166e+00   1.0803400e+04   0.0000000e+00
  -3.0741810e-01  -6.0991285e+00   1.0801200e+04   0.0000000e+00
  -3.0642440e-01  -6.0663575e+00   1.0798900e+04   0.0000000e+00
  -3.0546300e-01  -6.0392028e+00   1.0797400e+04   0.0000000e+00
  -3.0445850e-01  -6.0132255e+00   1.0795200e+04   0.0000000e+00
  -3.0345400e-01  -5.9852284e+00   1.0793000e+04   0.0000000e+00
  -3.0248190e-01  -5.9589706e+00   1.0792200e+04   0.0000000e+00
  -3.0148810e-01  -5.9288024e+00   1.0790000e+04   0.0000000e+00
  -3.0047280e-01  -5.8996819e+00   1.0788500e+04   0.0000000e+00
  -2.9948990e-01  -5.8680339e+00   1.0786300e+04   0.0000000e+00
  -2.9851780e-01  -5.8410415e+00   1.0785500e+04   0.0000000e+00
  -2.9752400e-01  -5.8155178e+00   1.0784000e+04   0.0000000e+00
  -2.9650870e-01  -5.7879852e+00   1.0782500e+04   0.0000000e+00
  -2.9550420e-01  -5.7622887e+00   1.0781000e+04   0.0000000e+00
  -2.9456450e-01  -5.7325311e+00   1.0779500e+04   0.0000000e+00
  -2.9353830e-01  -5.7049012e+00   1.0778800e+04   0.0000000e+00
  -2.9256620e-01  -5.6753163e+00   1.0777300e+04   0.0000000e+00
  -2.9155090e-01  -5.6495121e+00   1.0776600e+04   0.0000000e+00
  -2.9056790e-01  -5.6210397e+00   1.0775100e+04   0.0000000e+00
  -2.8957420e-01  -5.5946304e+00   1.0774300e+04   0.0000000e+00
