   7.0100000e+02   2.0000000e-04   1.0000000e-08
  -1.1009842e+00  -4.3255210e-01   1.2578900e+04   0.0000000e+00
  -1.0998609e+00  -4.3502560e-01   1.2580400e+04   0.0000000e+00
  -1.0991588e+00  -4.2166430e-01   1.2581100e+04   0.0000000e+00
  -1.0981867e+00  -4.1630680e-01   1.2583400e+04   0.0000000e+00
  -1.0970957e+00  -4.1451380e-01   1.2584100e+04   0.0000000e+00
  -1.0960912e+00  -4.1604760e-01   1.2585600e+04   0.0000000e+00
  -1.0949787e+00  -4.2571480e-01   1.2586400e+04   0.0000000e+00
  -1.0939849e+00  -4.1130560e-01   1.2587800e+04   0.0000000e+00
  -1.0932829e+00  -4.2103780e-01   1.2589300e+04   0.0000000e+00
  -1.0922027e+00  -4.0777360e-01   1.2590800e+04   0.0000000e+00
  -1.0911766e+00  -4.0326940e-01   1.2591600e+04   0.0000000e+00
  -1.0901073e+00  -4.0656380e-01   1.2593100e+04   0.0000000e+00
  -1.0890919e+00  -4.0731990e-01   1.2593800e+04   0.0000000e+00
  -1.0883898e+00  -4.0257810e-01   1.2595300e+04   0.0000000e+00
  -1.0873205e+00  -4.0221090e-01   1.2596800e+04   0.0000000e+00
  -1.0862944e+00  -4.0054750e-01   1.2597500e+04   0.0000000e+00
  -1.0851602e+00  -4.0916690e-01   1.2599000e+04   0.0000000e+00
  -1.0841665e+00  -3.9784710e-01   1.2600500e+04   0.0000000e+00
  -1.0830648e+00  -4.0919930e-01   1.2602000e+04   0.0000000e+00
  -1.0823411e+00  -3.9421790e-01   1.2603500e+04   0.0000000e+00
  -1.0813257e+00  -3.9449870e-01   1.2604200e+04   0.0000000e+00
  -1.0802240e+00  -3.9093420e-01   1.2605700e+04   0.0000000e+00
  -1.0791763e+00  -3.8742380e-01   1.2607200e+04   0.0000000e+00
  -1.0781285e+00  -3.9024300e-01   1.2608700e+04   0.0000000e+00
  -1.0773832e+00  -3.8718620e-01   1.2609500e+04   0.0000000e+00
