   1.2010000e+03   2.0000000e-04   1.0000000e-07
  -4.0046501e+00  -3.3476253e+00   1.1494800e+04   0.0000000e+00
  -3.9996707e+00  -3.3346529e+00   1.1494800e+04   0.0000000e+00
  -3.9947021e+00  -3.3273620e+00   1.1495500e+04   0.0000000e+00
  -3.9897442e+00  -3.3179540e+00   1.1497000e+04   0.0000000e+00
  -3.9847540e+00  -3.3057484e+00   1.1497800e+04   0.0000000e+00
  -3.9797746e+00  -3.2975178e+00   1.1498500e+04   0.0000000e+00
  -3.9747846e+00  -3.2888659e+00   1.1500000e+04   0.0000000e+00
  -3.9697835e+00  -3.2772544e+00   1.1500800e+04   0.0000000e+00
  -3.9647825e+00  -3.2673064e+00   1.1501500e+04   0.0000000e+00
  -3.9597923e+00  -3.2610092e+00   1.1502300e+04   0.0000000e+00
  -3.9544456e+00  -3.2476155e+00   1.1503000e+04   0.0000000e+00
  -3.9494446e+00  -3.2382938e+00   1.1503700e+04   0.0000000e+00
  -3.9444867e+00  -3.2292747e+00   1.1504500e+04   0.0000000e+00
  -3.9395181e+00  -3.2205904e+00   1.1504500e+04   0.0000000e+00
  -3.9345387e+00  -3.2094110e+00   1.1505200e+04   0.0000000e+00
  -3.9295700e+00  -3.2000030e+00   1.1506000e+04   0.0000000e+00
  -3.9245906e+00  -3.1900009e+00   1.1506000e+04   0.0000000e+00
  -3.9196220e+00  -3.1805281e+00   1.1506700e+04   0.0000000e+00
  -3.9146426e+00  -3.1710229e+00   1.1506700e+04   0.0000000e+00
  -3.9096739e+00  -3.1622954e+00   1.1507500e+04   0.0000000e+00
  -3.9046729e+00  -3.1517425e+00   1.1508200e+04   0.0000000e+00
  -3.8996611e+00  -3.1449808e+00   1.1509000e+04   0.0000000e+00
  -3.8943144e+00  -3.1339743e+00   1.1510400e+04   0.0000000e+00
  -3.8893566e+00  -3.1250200e+00   1.1511200e+04   0.0000000e+00
  -3.8844095e+00  -3.1141862e+00   1.1512700e+04   0.0000000e+00
  -3.8794193e+00  -3.1053399e+00   1.1513400e+04   0.0000000e+00
  -3.8744291e+00  -3.0938040e+00   1.1514200e+04   0.0000000e+00
  -3.8694495e+00  -3.0839100e+00   1.1515700e+04   0.0000000e+00
  -3.8645025e+00  -3.0748368e+00   1.1516400e+04   0.0000000e+00
  -3.8594691e+00  -3.0664010e+00   1.1517900e+04   0.0000000e+00
  -3.8544788e+00  -3.0591965e+00   1.1519400e+04   0.0000000e+00
  -3.8495318e+00  -3.0490756e+00   1.1520100e+04   0.0000000e+00
  -3.8445416e+00  -3.0399052e+00   1.1520900e+04   0.0000000e+00
  -3.8395298e+00  -3.0310807e+00   1.1521600e+04   0.0000000e+00
  -3.8342587e+00  -3.0229797e+00   1.1522400e+04   0.0000000e+00
  -3.8292901e+00  -3.0168553e+00   1.1522400e+04   0.0000000e+00
  -3.8243322e+00  -3.0093268e+00   1.1523100e+04   0.0000000e+00
  -3.8193420e+00  -3.0026407e+00   1.1523900e+04   0.0000000e+00
  -3.8143626e+00  -2.9918826e+00   1.1524600e+04   0.0000000e+00
  -3.8094047e+00  -2.9855422e+00   1.1524600e+04   0.0000000e+00
  -3.8044361e+00  -2.9789857e+00   1.1525300e+04   0.0000000e+00
  -3.7994783e+00  -2.9684328e+00   1.1525300e+04   0.0000000e+00
  -3.7944989e+00  -2.9588088e+00   1.1526100e+04   0.0000000e+00
  -3.7894762e+00  -2.9521011e+00   1.1526800e+04   0.0000000e+00
  -3.7845508e+00  -2.9444646e+00   1.1527600e+04   0.0000000e+00
  -3.7791609e+00  -2.9364607e+00   1.1528300e+04   0.0000000e+00
  -3.7741815e+00  -2.9294939e+00   1.1529800e+04   0.0000000e+00
  -3.7692237e+00  -2.9214467e+00   1.1530600e+04   0.0000000e+00
  -3.7642444e+00  -2.9141990e+00   1.1532100e+04   0.0000000e+00
  -3.7592650e+00  -2.9043482e+00   1.1532800e+04   0.0000000e+00
  -3.7543072e+00  -2.8979322e+00   1.1533500e+04   0.0000000e+00
  -3.7493061e+00  -2.8907061e+00   1.1534300e+04   0.0000000e+00
  -3.7444131e+00  -2.8830371e+00   1.1535000e+04   0.0000000e+00
  -3.7394229e+00  -2.8745040e+00   1.1536500e+04   0.0000000e+00
  -3.7344759e+00  -2.8669863e+00   1.1537300e+04   0.0000000e+00
  -3.7294748e+00  -2.8582588e+00   1.1537300e+04   0.0000000e+00
  -3.7245494e+00  -2.8520156e+00   1.1538000e+04   0.0000000e+00
  -3.7191271e+00  -2.8454915e+00   1.1538000e+04   0.0000000e+00
  -3.7141585e+00  -2.8382654e+00   1.1538800e+04   0.0000000e+00
  -3.7092007e+00  -2.8302184e+00   1.1539500e+04   0.0000000e+00
  -3.7042104e+00  -2.8205945e+00   1.1539500e+04   0.0000000e+00
  -3.6992310e+00  -2.8139841e+00   1.1541000e+04   0.0000000e+00
  -3.6942408e+00  -2.8081513e+00   1.1542500e+04   0.0000000e+00
  -3.6893046e+00  -2.8000503e+00   1.1544000e+04   0.0000000e+00
  -3.6843251e+00  -2.7937423e+00   1.1544700e+04   0.0000000e+00
  -3.6793349e+00  -2.7857601e+00   1.1545500e+04   0.0000000e+00
  -3.6743879e+00  -2.7801974e+00   1.1545500e+04   0.0000000e+00
  -3.6693868e+00  -2.7726472e+00   1.1545500e+04   0.0000000e+00
  -3.6643966e+00  -2.7644274e+00   1.1545500e+04   0.0000000e+00
  -3.6590608e+00  -2.7582490e+00   1.1546200e+04   0.0000000e+00
  -3.6540922e+00  -2.7523083e+00   1.1547000e+04   0.0000000e+00
  -3.6491128e+00  -2.7454818e+00   1.1547700e+04   0.0000000e+00
  -3.6441225e+00  -2.7376616e+00   1.1547700e+04   0.0000000e+00
  -3.6391647e+00  -2.7310512e+00   1.1548400e+04   0.0000000e+00
  -3.6341853e+00  -2.7218484e+00   1.1548400e+04   0.0000000e+00
  -3.6292383e+00  -2.7188779e+00   1.1549200e+04   0.0000000e+00
  -3.6242588e+00  -2.7099668e+00   1.1550700e+04   0.0000000e+00
  -3.6192578e+00  -2.7015093e+00   1.1551400e+04   0.0000000e+00
  -3.6142676e+00  -2.6962599e+00   1.1552200e+04   0.0000000e+00
  -3.6093205e+00  -2.6911724e+00   1.1552200e+04   0.0000000e+00
  -3.6043195e+00  -2.6828230e+00   1.1553700e+04   0.0000000e+00
  -3.5989620e+00  -2.6755321e+00   1.1554400e+04   0.0000000e+00
  -3.5939502e+00  -2.6686300e+00   1.1555200e+04   0.0000000e+00
  -3.5890140e+00  -2.6612202e+00   1.1555900e+04   0.0000000e+00
  -3.5840237e+00  -2.6550851e+00   1.1557400e+04   0.0000000e+00
  -3.5790767e+00  -2.6461091e+00   1.1558100e+04   0.0000000e+00
  -3.5740649e+00  -2.6403412e+00   1.1558100e+04   0.0000000e+00
  -3.5690963e+00  -2.6342276e+00   1.1558900e+04   0.0000000e+00
  -3.5641276e+00  -2.6278008e+00   1.1559600e+04   0.0000000e+00
  -3.5591698e+00  -2.6222273e+00   1.1560400e+04   0.0000000e+00
  -3.5542228e+00  -2.6129274e+00   1.1561100e+04   0.0000000e+00
  -3.5492541e+00  -2.6048588e+00   1.1561900e+04   0.0000000e+00
  -3.5442747e+00  -2.5986048e+00   1.1562600e+04   0.0000000e+00
  -3.5389820e+00  -2.5901798e+00   1.1564100e+04   0.0000000e+00
  -3.5339594e+00  -2.5847359e+00   1.1564800e+04   0.0000000e+00
  -3.5290448e+00  -2.5767645e+00   1.1564800e+04   0.0000000e+00
  -3.5240654e+00  -2.5711261e+00   1.1566300e+04   0.0000000e+00
  -3.5190319e+00  -2.5627875e+00   1.1567100e+04   0.0000000e+00
  -3.5140633e+00  -2.5578729e+00   1.1567800e+04   0.0000000e+00
  -3.5090515e+00  -2.5488753e+00   1.1567800e+04   0.0000000e+00
  -3.5040612e+00  -2.5417032e+00   1.1568600e+04   0.0000000e+00
  -3.4991682e+00  -2.5358057e+00   1.1570100e+04   0.0000000e+00
  -3.4941888e+00  -2.5313447e+00   1.1570800e+04   0.0000000e+00
  -3.4892093e+00  -2.5230385e+00   1.1570800e+04   0.0000000e+00
