   1.3700000e+02   4.6082949e-03   1.0000000e-07
  -2.4212100e-02  -8.9460000e-04   3.7837200e+04   0.0000000e+00
  -2.3859200e-02  -8.0430000e-04   3.7837200e+04   0.0000000e+00
  -2.3333900e-02  -7.6330000e-04   3.7837200e+04   0.0000000e+00
  -2.2816800e-02  -7.3050000e-04   3.7834200e+04   0.0000000e+00
  -2.2266900e-02  -7.2230000e-04   3.7834200e+04   0.0000000e+00
  -2.1733500e-02  -7.0580000e-04   3.7834200e+04   0.0000000e+00
  -2.1208200e-02  -6.8940000e-04   3.7837200e+04   0.0000000e+00
  -2.0879900e-02  -6.6480000e-04   3.7837200e+04   0.0000000e+00
  -2.0346400e-02  -6.4840000e-04   3.7837200e+04   0.0000000e+00
  -1.9829300e-02  -6.5660000e-04   3.7834200e+04   0.0000000e+00
  -1.9312200e-02  -6.1560000e-04   3.7834200e+04   0.0000000e+00
  -1.8787000e-02  -6.0740000e-04   3.7834200e+04   0.0000000e+00
  -1.8245300e-02  -5.9910000e-04   3.7834200e+04   0.0000000e+00
  -1.7908800e-02  -5.9910000e-04   3.7834200e+04   0.0000000e+00
  -1.7383500e-02  -5.8270000e-04   3.7831300e+04   0.0000000e+00
  -1.6850000e-02  -5.6630000e-04   3.7828300e+04   0.0000000e+00
  -1.6332900e-02  -5.4990000e-04   3.7828300e+04   0.0000000e+00
  -1.5791200e-02  -5.4170000e-04   3.7828300e+04   0.0000000e+00
  -1.5265900e-02  -5.1710000e-04   3.7828300e+04   0.0000000e+00
  -1.4929400e-02  -5.2530000e-04   3.7828300e+04   0.0000000e+00
  -1.4412400e-02  -5.1710000e-04   3.7828300e+04   0.0000000e+00
  -1.3903500e-02  -5.0890000e-04   3.7828300e+04   0.0000000e+00
  -1.3345400e-02  -4.8420000e-04   3.7828300e+04   0.0000000e+00
  -1.2811900e-02  -4.8420000e-04   3.7828300e+04   0.0000000e+00
  -1.2286600e-02  -4.5960000e-04   3.7831300e+04   0.0000000e+00
  -1.1958300e-02  -4.5140000e-04   3.7828300e+04   0.0000000e+00
  -1.1408400e-02  -4.4320000e-04   3.7828300e+04   0.0000000e+00
  -1.0883100e-02  -4.3500000e-04   3.7828300e+04   0.0000000e+00
  -1.0349700e-02  -4.2680000e-04   3.7828300e+04   0.0000000e+00
  -9.8080000e-03  -3.9400000e-04   3.7831300e+04   0.0000000e+00
  -9.2991000e-03  -4.0220000e-04   3.7831300e+04   0.0000000e+00
  -8.9462000e-03  -4.0220000e-04   3.7834200e+04   0.0000000e+00
  -8.4209000e-03  -3.8580000e-04   3.7834200e+04   0.0000000e+00
  -7.9038000e-03  -3.7750000e-04   3.7834200e+04   0.0000000e+00
  -7.3703000e-03  -3.6110000e-04   3.7837200e+04   0.0000000e+00
  -6.8451000e-03  -3.5290000e-04   3.7837200e+04   0.0000000e+00
  -6.3034000e-03  -3.3650000e-04   3.7837200e+04   0.0000000e+00
  -5.9586000e-03  -3.2830000e-04   3.7837200e+04   0.0000000e+00
  -5.4498000e-03  -3.2830000e-04   3.7837200e+04   0.0000000e+00
  -4.9081000e-03  -3.1190000e-04   3.7840200e+04   0.0000000e+00
  -4.3828000e-03  -3.2010000e-04   3.7837200e+04   0.0000000e+00
  -3.8657000e-03  -3.0370000e-04   3.7840200e+04   0.0000000e+00
  -3.3405000e-03  -2.9550000e-04   3.7840200e+04   0.0000000e+00
  -2.9711000e-03  -2.8730000e-04   3.7840200e+04   0.0000000e+00
  -2.4705000e-03  -2.8730000e-04   3.7840200e+04   0.0000000e+00
  -1.9288000e-03  -2.6260000e-04   3.7840200e+04   0.0000000e+00
  -1.3789000e-03  -2.6260000e-04   3.7840200e+04   0.0000000e+00
  -8.7820000e-04  -2.5440000e-04   3.7837200e+04   0.0000000e+00
  -3.5290000e-04  -2.3800000e-04   3.7837200e+04   0.0000000e+00
   1.6400000e-05  -2.3800000e-04   3.7837200e+04   0.0000000e+00
   5.3350000e-04  -2.0520000e-04   3.7837200e+04   0.0000000e+00
   1.0670000e-03  -2.0520000e-04   3.7834200e+04   0.0000000e+00
   1.5758000e-03  -1.8880000e-04   3.7834200e+04   0.0000000e+00
   2.0929000e-03  -1.8880000e-04   3.7834200e+04   0.0000000e+00
   2.4458000e-03  -1.8060000e-04   3.7834200e+04   0.0000000e+00
   2.9793000e-03  -1.3950000e-04   3.7834200e+04   0.0000000e+00
   3.4882000e-03  -1.3130000e-04   3.7834200e+04   0.0000000e+00
   4.0217000e-03  -1.0670000e-04   3.7834200e+04   0.0000000e+00
   4.5305000e-03  -6.5700000e-05   3.7834200e+04   0.0000000e+00
   5.0640000e-03  -4.9200000e-05   3.7834200e+04   0.0000000e+00
   5.4169000e-03  -4.1000000e-05   3.7834200e+04   0.0000000e+00
   5.9422000e-03  -1.6400000e-05   3.7834200e+04   0.0000000e+00
   6.4839000e-03   1.6400000e-05   3.7834200e+04   0.0000000e+00
   7.0092000e-03   4.9200000e-05   3.7834200e+04   0.0000000e+00
   7.5181000e-03   8.2100000e-05   3.7834200e+04   0.0000000e+00
   8.0516000e-03   1.0670000e-04   3.7834200e+04   0.0000000e+00
   8.4127000e-03   1.3950000e-04   3.7834200e+04   0.0000000e+00
   8.9298000e-03   1.5590000e-04   3.7834200e+04   0.0000000e+00
   9.4468000e-03   1.8060000e-04   3.7834200e+04   0.0000000e+00
   9.9803000e-03   2.5440000e-04   3.7834200e+04   0.0000000e+00
   1.0497400e-02   2.7080000e-04   3.7834200e+04   0.0000000e+00
   1.1039100e-02   3.0370000e-04   3.7834200e+04   0.0000000e+00
   1.1383800e-02   3.2010000e-04   3.7834200e+04   0.0000000e+00
   1.1917300e-02   3.3650000e-04   3.7831300e+04   0.0000000e+00
   1.2459000e-02   3.7750000e-04   3.7831300e+04   0.0000000e+00
   1.2967800e-02   3.9400000e-04   3.7828300e+04   0.0000000e+00
   1.3493100e-02   4.1860000e-04   3.7828300e+04   0.0000000e+00
   1.4026600e-02   4.2680000e-04   3.7828300e+04   0.0000000e+00
   1.4371300e-02   4.4320000e-04   3.7828300e+04   0.0000000e+00
   1.4888400e-02   4.7600000e-04   3.7825300e+04   0.0000000e+00
   1.5421900e-02   4.9240000e-04   3.7825300e+04   0.0000000e+00
   1.5955400e-02   5.0070000e-04   3.7825300e+04   0.0000000e+00
   1.6488900e-02   5.0890000e-04   3.7822300e+04   0.0000000e+00
   1.6997700e-02   5.2530000e-04   3.7825300e+04   0.0000000e+00
   1.7342400e-02   5.4170000e-04   3.7825300e+04   0.0000000e+00
   1.7892300e-02   5.4990000e-04   3.7825300e+04   0.0000000e+00
   1.8409400e-02   5.6630000e-04   3.7825300e+04   0.0000000e+00
   1.8942900e-02   5.7450000e-04   3.7825300e+04   0.0000000e+00
   1.9460000e-02   5.7450000e-04   3.7825300e+04   0.0000000e+00
   1.9985300e-02   5.7450000e-04   3.7828300e+04   0.0000000e+00
   2.0346400e-02   5.9910000e-04   3.7828300e+04   0.0000000e+00
   2.0871700e-02   6.1560000e-04   3.7828300e+04   0.0000000e+00
   2.1397000e-02   6.2380000e-04   3.7828300e+04   0.0000000e+00
   2.1914000e-02   6.2380000e-04   3.7828300e+04   0.0000000e+00
   2.2447500e-02   6.4020000e-04   3.7828300e+04   0.0000000e+00
   2.2981000e-02   6.4840000e-04   3.7831300e+04   0.0000000e+00
   2.3325700e-02   6.4020000e-04   3.7831300e+04   0.0000000e+00
   2.3851000e-02   6.4840000e-04   3.7831300e+04   0.0000000e+00
   2.4359900e-02   6.5660000e-04   3.7831300e+04   0.0000000e+00
   2.4893300e-02   6.8120000e-04   3.7834200e+04   0.0000000e+00
   2.5418600e-02   6.8940000e-04   3.7834200e+04   0.0000000e+00
   2.5935700e-02   6.8940000e-04   3.7834200e+04   0.0000000e+00
   2.6296800e-02   7.0580000e-04   3.7831300e+04   0.0000000e+00
   2.6813900e-02   7.1410000e-04   3.7828300e+04   0.0000000e+00
   2.7347400e-02   7.2230000e-04   3.7828300e+04   0.0000000e+00
   2.7880900e-02   7.2230000e-04   3.7828300e+04   0.0000000e+00
   2.8397900e-02   7.5510000e-04   3.7825300e+04   0.0000000e+00
   2.8759100e-02   7.5510000e-04   3.7825300e+04   0.0000000e+00
   2.9284400e-02   7.6330000e-04   3.7825300e+04   0.0000000e+00
   2.9793200e-02   7.7150000e-04   3.7825300e+04   0.0000000e+00
   3.0334900e-02   7.8790000e-04   3.7828300e+04   0.0000000e+00
   3.0868400e-02   7.9610000e-04   3.7828300e+04   0.0000000e+00
   3.1377300e-02   8.2070000e-04   3.7828300e+04   0.0000000e+00
   3.1730200e-02   8.2900000e-04   3.7828300e+04   0.0000000e+00
   3.2263700e-02   8.2900000e-04   3.7828300e+04   0.0000000e+00
   3.2789000e-02   8.5360000e-04   3.7831300e+04   0.0000000e+00
   3.3306000e-02   8.6180000e-04   3.7831300e+04   0.0000000e+00
