   6.0100000e+02   4.6082949e-03   1.0000000e-07
  -2.9821170e-01  -8.5352240e+00   3.7810400e+04   0.0000000e+00
  -2.9717760e-01  -8.5058493e+00   3.7813400e+04   0.0000000e+00
  -2.9610240e-01  -8.4794215e+00   3.7813400e+04   0.0000000e+00
  -2.9521600e-01  -8.4522218e+00   3.7813400e+04   0.0000000e+00
  -2.9418180e-01  -8.4209759e+00   3.7810400e+04   0.0000000e+00
  -2.9310660e-01  -8.3920034e+00   3.7810400e+04   0.0000000e+00
  -2.9225310e-01  -8.3635403e+00   3.7807400e+04   0.0000000e+00
  -2.9118610e-01  -8.3345268e+00   3.7807400e+04   0.0000000e+00
  -2.9014370e-01  -8.3014588e+00   3.7807400e+04   0.0000000e+00
  -2.8927370e-01  -8.2736440e+00   3.7807400e+04   0.0000000e+00
  -2.8822320e-01  -8.2471338e+00   3.7804400e+04   0.0000000e+00
  -2.8717260e-01  -8.2088705e+00   3.7801500e+04   0.0000000e+00
  -2.8628620e-01  -8.1857171e+00   3.7801500e+04   0.0000000e+00
  -2.8525210e-01  -8.1551034e+00   3.7801500e+04   0.0000000e+00
  -2.8417690e-01  -8.1250394e+00   3.7801500e+04   0.0000000e+00
  -2.8331510e-01  -8.0961654e+00   3.7801500e+04   0.0000000e+00
  -2.8225630e-01  -8.0669718e+00   3.7801500e+04   0.0000000e+00
  -2.8119760e-01  -8.0371950e+00   3.7801500e+04   0.0000000e+00
  -2.8032760e-01  -8.0110787e+00   3.7804400e+04   0.0000000e+00
  -2.7926880e-01  -7.9834851e+00   3.7807400e+04   0.0000000e+00
  -2.7821820e-01  -7.9500809e+00   3.7807400e+04   0.0000000e+00
  -2.7734000e-01  -7.9302844e+00   3.7807400e+04   0.0000000e+00
  -2.7628130e-01  -7.8988743e+00   3.7810400e+04   0.0000000e+00
  -2.7525530e-01  -7.8644520e+00   3.7810400e+04   0.0000000e+00
  -2.7436070e-01  -7.8384758e+00   3.7810400e+04   0.0000000e+00
  -2.7331840e-01  -7.8052272e+00   3.7810400e+04   0.0000000e+00
  -2.7226780e-01  -7.7788975e+00   3.7810400e+04   0.0000000e+00
  -2.7138960e-01  -7.7449270e+00   3.7810400e+04   0.0000000e+00
  -2.7031440e-01  -7.7160202e+00   3.7810400e+04   0.0000000e+00
  -2.6925560e-01  -7.6781590e+00   3.7813400e+04   0.0000000e+00
  -2.6837740e-01  -7.6563845e+00   3.7813400e+04   0.0000000e+00
  -2.6735150e-01  -7.6255573e+00   3.7813400e+04   0.0000000e+00
  -2.6648970e-01  -7.5994575e+00   3.7813400e+04   0.0000000e+00
  -2.6543920e-01  -7.5681294e+00   3.7810400e+04   0.0000000e+00
  -2.6438860e-01  -7.5316558e+00   3.7810400e+04   0.0000000e+00
  -2.6351040e-01  -7.5081577e+00   3.7810400e+04   0.0000000e+00
  -2.6245160e-01  -7.4724715e+00   3.7810400e+04   0.0000000e+00
  -2.6140930e-01  -7.4424977e+00   3.7807400e+04   0.0000000e+00
  -2.6053930e-01  -7.4199931e+00   3.7807400e+04   0.0000000e+00
  -2.5947230e-01  -7.3865968e+00   3.7807400e+04   0.0000000e+00
  -2.5843000e-01  -7.3574930e+00   3.7810400e+04   0.0000000e+00
  -2.5755170e-01  -7.3265099e+00   3.7810400e+04   0.0000000e+00
  -2.5648480e-01  -7.2999258e+00   3.7810400e+04   0.0000000e+00
  -2.5545060e-01  -7.2615229e+00   3.7810400e+04   0.0000000e+00
  -2.5456420e-01  -7.2360222e+00   3.7810400e+04   0.0000000e+00
  -2.5351370e-01  -7.2040955e+00   3.7810400e+04   0.0000000e+00
  -2.5245490e-01  -7.1654218e+00   3.7810400e+04   0.0000000e+00
  -2.5159310e-01  -7.1342743e+00   3.7810400e+04   0.0000000e+00
  -2.5052610e-01  -7.1039232e+00   3.7810400e+04   0.0000000e+00
  -2.4948380e-01  -7.0690085e+00   3.7813400e+04   0.0000000e+00
  -2.4860560e-01  -7.0452477e+00   3.7813400e+04   0.0000000e+00
  -2.4755500e-01  -7.0083307e+00   3.7813400e+04   0.0000000e+00
  -2.4648800e-01  -6.9764117e+00   3.7810400e+04   0.0000000e+00
  -2.4560160e-01  -6.9457978e+00   3.7810400e+04   0.0000000e+00
  -2.4457570e-01  -6.9171946e+00   3.7810400e+04   0.0000000e+00
  -2.4353330e-01  -6.8782669e+00   3.7810400e+04   0.0000000e+00
  -2.4263870e-01  -6.8530370e+00   3.7807400e+04   0.0000000e+00
  -2.4158820e-01  -6.8150363e+00   3.7807400e+04   0.0000000e+00
  -2.4054580e-01  -6.7865073e+00   3.7807400e+04   0.0000000e+00
  -2.3965940e-01  -6.7579452e+00   3.7807400e+04   0.0000000e+00
  -2.3860880e-01  -6.7242862e+00   3.7807400e+04   0.0000000e+00
  -2.3756650e-01  -6.6903566e+00   3.7807400e+04   0.0000000e+00
  -2.3666370e-01  -6.6674659e+00   3.7807400e+04   0.0000000e+00
  -2.3562130e-01  -6.6327236e+00   3.7807400e+04   0.0000000e+00
  -2.3457900e-01  -6.5990485e+00   3.7807400e+04   0.0000000e+00
  -2.3370080e-01  -6.5710445e+00   3.7807400e+04   0.0000000e+00
  -2.3264200e-01  -6.5400858e+00   3.7807400e+04   0.0000000e+00
  -2.3159140e-01  -6.5082653e+00   3.7807400e+04   0.0000000e+00
  -2.3070500e-01  -6.4747707e+00   3.7807400e+04   0.0000000e+00
  -2.2965450e-01  -6.4472838e+00   3.7807400e+04   0.0000000e+00
  -2.2858750e-01  -6.4144784e+00   3.7807400e+04   0.0000000e+00
  -2.2773390e-01  -6.3867619e+00   3.7807400e+04   0.0000000e+00
  -2.2667510e-01  -6.3604815e+00   3.7810400e+04   0.0000000e+00
  -2.2562460e-01  -6.3241305e+00   3.7810400e+04   0.0000000e+00
  -2.2473820e-01  -6.2983836e+00   3.7810400e+04   0.0000000e+00
  -2.2367940e-01  -6.2632474e+00   3.7810400e+04   0.0000000e+00
  -2.2265350e-01  -6.2238186e+00   3.7807400e+04   0.0000000e+00
  -2.2178350e-01  -6.1940993e+00   3.7807400e+04   0.0000000e+00
  -2.2073290e-01  -6.1624270e+00   3.7810400e+04   0.0000000e+00
  -2.1969060e-01  -6.1312057e+00   3.7810400e+04   0.0000000e+00
  -2.1879590e-01  -6.0937138e+00   3.7810400e+04   0.0000000e+00
  -2.1774540e-01  -6.0644625e+00   3.7810400e+04   0.0000000e+00
  -2.1670300e-01  -6.0297201e+00   3.7813400e+04   0.0000000e+00
  -2.1582480e-01  -6.0027913e+00   3.7813400e+04   0.0000000e+00
