   1.1010000e+03   4.2553191e-04   1.0000000e-07
  -2.0015646e+00  -7.6518375e+00   3.7834200e+04   0.0000000e+00
  -1.9965991e+00  -7.6316637e+00   3.7834200e+04   0.0000000e+00
  -1.9916500e+00  -7.6190488e+00   3.7834200e+04   0.0000000e+00
  -1.9865941e+00  -7.6117031e+00   3.7822300e+04   0.0000000e+00
  -1.9816448e+00  -7.5782411e+00   3.7822300e+04   0.0000000e+00
  -1.9766629e+00  -7.5720608e+00   3.7822300e+04   0.0000000e+00
  -1.9716891e+00  -7.5605047e+00   3.7822300e+04   0.0000000e+00
  -1.9666825e+00  -7.5440651e+00   3.7822300e+04   0.0000000e+00
  -1.9617252e+00  -7.5323288e+00   3.7822300e+04   0.0000000e+00
  -1.9564560e+00  -7.5146909e+00   3.7822300e+04   0.0000000e+00
  -1.9514576e+00  -7.4886731e+00   3.7825300e+04   0.0000000e+00
  -1.9464675e+00  -7.4887880e+00   3.7825300e+04   0.0000000e+00
  -1.9414855e+00  -7.4813931e+00   3.7825300e+04   0.0000000e+00
  -1.9365118e+00  -7.4605296e+00   3.7825300e+04   0.0000000e+00
  -1.9315380e+00  -7.4521169e+00   3.7825300e+04   0.0000000e+00
  -1.9265725e+00  -7.4340115e+00   3.7825300e+04   0.0000000e+00
  -1.9215823e+00  -7.4199028e+00   3.7825300e+04   0.0000000e+00
  -1.9166250e+00  -7.4119990e+00   3.7825300e+04   0.0000000e+00
  -1.9116431e+00  -7.3922846e+00   3.7825300e+04   0.0000000e+00
  -1.9066529e+00  -7.3838390e+00   3.7825300e+04   0.0000000e+00
  -1.9016709e+00  -7.3730134e+00   3.7825300e+04   0.0000000e+00
  -1.8967136e+00  -7.3646581e+00   3.7822300e+04   0.0000000e+00
  -1.8913869e+00  -7.3442543e+00   3.7822300e+04   0.0000000e+00
  -1.8864214e+00  -7.3298093e+00   3.7822300e+04   0.0000000e+00
  -1.8814312e+00  -7.3086257e+00   3.7822300e+04   0.0000000e+00
  -1.8764494e+00  -7.2897567e+00   3.7822300e+04   0.0000000e+00
  -1.8714674e+00  -7.2696647e+00   3.7822300e+04   0.0000000e+00
  -1.8665183e+00  -7.2570580e+00   3.7822300e+04   0.0000000e+00
  -1.8614871e+00  -7.2463144e+00   3.7822300e+04   0.0000000e+00
  -1.8565380e+00  -7.2209455e+00   3.7822300e+04   0.0000000e+00
  -1.8515725e+00  -7.2198375e+00   3.7822300e+04   0.0000000e+00
  -1.8465987e+00  -7.2025279e+00   3.7822300e+04   0.0000000e+00
  -1.8416250e+00  -7.1775771e+00   3.7819300e+04   0.0000000e+00
  -1.8366676e+00  -7.1710111e+00   3.7819300e+04   0.0000000e+00
  -1.8313738e+00  -7.1596191e+00   3.7819300e+04   0.0000000e+00
  -1.8264001e+00  -7.1290954e+00   3.7819300e+04   0.0000000e+00
  -1.8214099e+00  -7.1227512e+00   3.7819300e+04   0.0000000e+00
  -1.8164115e+00  -7.1070010e+00   3.7816400e+04   0.0000000e+00
  -1.8114460e+00  -7.0885833e+00   3.7813400e+04   0.0000000e+00
  -1.8064394e+00  -7.0883289e+00   3.7813400e+04   0.0000000e+00
  -1.8014164e+00  -7.0706664e+00   3.7813400e+04   0.0000000e+00
  -1.7964837e+00  -7.0584536e+00   3.7813400e+04   0.0000000e+00
  -1.7914936e+00  -7.0405859e+00   3.7813400e+04   0.0000000e+00
  -1.7865280e+00  -7.0267234e+00   3.7813400e+04   0.0000000e+00
  -1.7815297e+00  -7.0148721e+00   3.7813400e+04   0.0000000e+00
  -1.7765887e+00  -6.9992040e+00   3.7813400e+04   0.0000000e+00
  -1.7715820e+00  -6.9829121e+00   3.7813400e+04   0.0000000e+00
  -1.7662553e+00  -6.9676954e+00   3.7810400e+04   0.0000000e+00
  -1.7612733e+00  -6.9519780e+00   3.7810400e+04   0.0000000e+00
  -1.7562914e+00  -6.9470863e+00   3.7810400e+04   0.0000000e+00
  -1.7513341e+00  -6.9405942e+00   3.7810400e+04   0.0000000e+00
  -1.7463603e+00  -6.9100545e+00   3.7810400e+04   0.0000000e+00
  -1.7414112e+00  -6.8876726e+00   3.7810400e+04   0.0000000e+00
  -1.7363964e+00  -6.8755666e+00   3.7810400e+04   0.0000000e+00
  -1.7314637e+00  -6.8632307e+00   3.7810400e+04   0.0000000e+00
  -1.7264735e+00  -6.8567714e+00   3.7810400e+04   0.0000000e+00
  -1.7214834e+00  -6.8361378e+00   3.7810400e+04   0.0000000e+00
  -1.7165014e+00  -6.8201167e+00   3.7810400e+04   0.0000000e+00
  -1.7115523e+00  -6.8146998e+00   3.7810400e+04   0.0000000e+00
  -1.7066196e+00  -6.7854896e+00   3.7810400e+04   0.0000000e+00
  -1.7012929e+00  -6.7663415e+00   3.7813400e+04   0.0000000e+00
  -1.6962864e+00  -6.7701333e+00   3.7813400e+04   0.0000000e+00
  -1.6913290e+00  -6.7397738e+00   3.7813400e+04   0.0000000e+00
  -1.6863553e+00  -6.7186231e+00   3.7813400e+04   0.0000000e+00
  -1.6813487e+00  -6.7289399e+00   3.7813400e+04   0.0000000e+00
  -1.6763257e+00  -6.7006406e+00   3.7813400e+04   0.0000000e+00
  -1.6713848e+00  -6.6884033e+00   3.7816400e+04   0.0000000e+00
  -1.6663783e+00  -6.6943701e+00   3.7816400e+04   0.0000000e+00
  -1.6613964e+00  -6.6551629e+00   3.7816400e+04   0.0000000e+00
  -1.6563980e+00  -6.6473904e+00   3.7813400e+04   0.0000000e+00
  -1.6514981e+00  -6.6500332e+00   3.7813400e+04   0.0000000e+00
  -1.6465408e+00  -6.6229813e+00   3.7813400e+04   0.0000000e+00
  -1.6411485e+00  -6.6032751e+00   3.7810400e+04   0.0000000e+00
  -1.6361911e+00  -6.5940665e+00   3.7810400e+04   0.0000000e+00
  -1.6312092e+00  -6.5753534e+00   3.7810400e+04   0.0000000e+00
  -1.6262354e+00  -6.5567881e+00   3.7810400e+04   0.0000000e+00
  -1.6212289e+00  -6.5432867e+00   3.7810400e+04   0.0000000e+00
  -1.6162715e+00  -6.5297115e+00   3.7810400e+04   0.0000000e+00
  -1.6113060e+00  -6.5156193e+00   3.7810400e+04   0.0000000e+00
  -1.6063076e+00  -6.4999101e+00   3.7810400e+04   0.0000000e+00
  -1.6013257e+00  -6.4965204e+00   3.7810400e+04   0.0000000e+00
  -1.5963519e+00  -6.4794326e+00   3.7810400e+04   0.0000000e+00
  -1.5914110e+00  -6.4637645e+00   3.7810400e+04   0.0000000e+00
