   4.0100000e+02   4.0000000e-03   1.0000000e-07
  -9.9139340e-01  -6.3250384e+00   2.8494200e+04   0.0000000e+00
  -9.8657600e-01  -6.2926883e+00   2.8494200e+04   0.0000000e+00
  -9.8173700e-01  -6.2606841e+00   2.8494200e+04   0.0000000e+00
  -9.7677910e-01  -6.2276536e+00   2.8497200e+04   0.0000000e+00
  -9.7185370e-01  -6.1954007e+00   2.8497200e+04   0.0000000e+00
  -9.6696070e-01  -6.1630294e+00   2.8500100e+04   0.0000000e+00
  -9.6204610e-01  -6.1298908e+00   2.8500100e+04   0.0000000e+00
  -9.5712060e-01  -6.0971411e+00   2.8503100e+04   0.0000000e+00
  -9.5223840e-01  -6.0642188e+00   2.8503100e+04   0.0000000e+00
  -9.4732380e-01  -6.0316095e+00   2.8503100e+04   0.0000000e+00
  -9.4239840e-01  -5.9990758e+00   2.8500100e+04   0.0000000e+00
  -9.3749460e-01  -5.9656674e+00   2.8500100e+04   0.0000000e+00
  -9.3222360e-01  -5.9304766e+00   2.8500100e+04   0.0000000e+00
  -9.2726580e-01  -5.8974568e+00   2.8500100e+04   0.0000000e+00
  -9.2236190e-01  -5.8643616e+00   2.8500100e+04   0.0000000e+00
  -9.1743650e-01  -5.8311150e+00   2.8500100e+04   0.0000000e+00
  -9.1253270e-01  -5.7977172e+00   2.8503100e+04   0.0000000e+00
  -9.0759650e-01  -5.7644814e+00   2.8503100e+04   0.0000000e+00
  -9.0266030e-01  -5.7319695e+00   2.8503100e+04   0.0000000e+00
  -8.9775640e-01  -5.6987661e+00   2.8503100e+04   0.0000000e+00
  -8.9284180e-01  -5.6649794e+00   2.8503100e+04   0.0000000e+00
  -8.8792720e-01  -5.6317547e+00   2.8506100e+04   0.0000000e+00
  -8.8296940e-01  -5.5983785e+00   2.8506100e+04   0.0000000e+00
  -8.7804390e-01  -5.5649591e+00   2.8506100e+04   0.0000000e+00
  -8.7276210e-01  -5.5293688e+00   2.8506100e+04   0.0000000e+00
  -8.6787990e-01  -5.4963058e+00   2.8506100e+04   0.0000000e+00
  -8.6294360e-01  -5.4630916e+00   2.8506100e+04   0.0000000e+00
  -8.5805060e-01  -5.4299638e+00   2.8506100e+04   0.0000000e+00
  -8.5308200e-01  -5.3965768e+00   2.8506100e+04   0.0000000e+00
  -8.4816740e-01  -5.3628117e+00   2.8506100e+04   0.0000000e+00
  -8.4320950e-01  -5.3295978e+00   2.8506100e+04   0.0000000e+00
  -8.3832730e-01  -5.2967940e+00   2.8506100e+04   0.0000000e+00
  -8.3332630e-01  -5.2626833e+00   2.8506100e+04   0.0000000e+00
  -8.2838990e-01  -5.2297286e+00   2.8506100e+04   0.0000000e+00
  -8.2345360e-01  -5.1965792e+00   2.8506100e+04   0.0000000e+00
  -8.1822580e-01  -5.1616151e+00   2.8506100e+04   0.0000000e+00
  -8.1327870e-01  -5.1281311e+00   2.8506100e+04   0.0000000e+00
  -8.0835330e-01  -5.0951977e+00   2.8506100e+04   0.0000000e+00
  -8.0341710e-01  -5.0620051e+00   2.8503100e+04   0.0000000e+00
  -7.9849170e-01  -5.0288450e+00   2.8503100e+04   0.0000000e+00
  -7.9359870e-01  -4.9959766e+00   2.8503100e+04   0.0000000e+00
  -7.8864080e-01  -4.9632053e+00   2.8503100e+04   0.0000000e+00
  -7.8371540e-01  -4.9300235e+00   2.8503100e+04   0.0000000e+00
  -7.7880080e-01  -4.8970147e+00   2.8503100e+04   0.0000000e+00
  -7.7387540e-01  -4.8640921e+00   2.8503100e+04   0.0000000e+00
  -7.6894990e-01  -4.8303811e+00   2.8503100e+04   0.0000000e+00
  -7.6402450e-01  -4.7976531e+00   2.8503100e+04   0.0000000e+00
  -7.5866700e-01  -4.7618250e+00   2.8503100e+04   0.0000000e+00
  -7.5375240e-01  -4.7289024e+00   2.8503100e+04   0.0000000e+00
  -7.4893500e-01  -4.6962285e+00   2.8503100e+04   0.0000000e+00
  -7.4397720e-01  -4.6637704e+00   2.8503100e+04   0.0000000e+00
  -7.3908420e-01  -4.6311719e+00   2.8503100e+04   0.0000000e+00
  -7.3415870e-01  -4.5982169e+00   2.8503100e+04   0.0000000e+00
  -7.2923330e-01  -4.5650135e+00   2.8500100e+04   0.0000000e+00
  -7.2428630e-01  -4.5320153e+00   2.8500100e+04   0.0000000e+00
  -7.1933930e-01  -4.4992010e+00   2.8500100e+04   0.0000000e+00
  -7.1444620e-01  -4.4663108e+00   2.8500100e+04   0.0000000e+00
  -7.0942360e-01  -4.4327834e+00   2.8500100e+04   0.0000000e+00
  -7.0451980e-01  -4.4005089e+00   2.8500100e+04   0.0000000e+00
  -6.9924870e-01  -4.3648970e+00   2.8500100e+04   0.0000000e+00
  -6.9432330e-01  -4.3324389e+00   2.8497200e+04   0.0000000e+00
  -6.8933310e-01  -4.2989763e+00   2.8497200e+04   0.0000000e+00
  -6.8440770e-01  -4.2665508e+00   2.8497200e+04   0.0000000e+00
  -6.7948220e-01  -4.2336822e+00   2.8497200e+04   0.0000000e+00
  -6.7453520e-01  -4.2009973e+00   2.8497200e+04   0.0000000e+00
  -6.6964220e-01  -4.1685607e+00   2.8497200e+04   0.0000000e+00
  -6.6468440e-01  -4.1351520e+00   2.8497200e+04   0.0000000e+00
  -6.5973730e-01  -4.1031260e+00   2.8497200e+04   0.0000000e+00
