   1.9100000e+02   4.0000000e-03   1.0000000e-07
  -1.3886260e-01  -1.9188650e-01   2.5227900e+04   0.0000000e+00
  -1.3787960e-01  -1.8555690e-01   2.5230800e+04   0.0000000e+00
  -1.3688590e-01  -1.7937850e-01   2.5230800e+04   0.0000000e+00
  -1.3588140e-01  -1.7376180e-01   2.5233800e+04   0.0000000e+00
  -1.3488770e-01  -1.6825310e-01   2.5236800e+04   0.0000000e+00
  -1.3389390e-01  -1.6332770e-01   2.5233800e+04   0.0000000e+00
  -1.3291100e-01  -1.5866150e-01   2.5233800e+04   0.0000000e+00
  -1.3189570e-01  -1.5448130e-01   2.5230800e+04   0.0000000e+00
  -1.3095600e-01  -1.5083050e-01   2.5230800e+04   0.0000000e+00
  -1.2994060e-01  -1.4644510e-01   2.5230800e+04   0.0000000e+00
  -1.2893610e-01  -1.4244860e-01   2.5230800e+04   0.0000000e+00
  -1.2795320e-01  -1.3848450e-01   2.5233800e+04   0.0000000e+00
  -1.2697030e-01  -1.3536290e-01   2.5233800e+04   0.0000000e+00
  -1.2595490e-01  -1.3128000e-01   2.5236800e+04   0.0000000e+00
  -1.2497200e-01  -1.2718630e-01   2.5236800e+04   0.0000000e+00
  -1.2396750e-01  -1.2325460e-01   2.5236800e+04   0.0000000e+00
  -1.2300620e-01  -1.1969010e-01   2.5239800e+04   0.0000000e+00
  -1.2200160e-01  -1.1501310e-01   2.5239800e+04   0.0000000e+00
  -1.2100790e-01  -1.1102740e-01   2.5239800e+04   0.0000000e+00
  -1.2002500e-01  -1.0689050e-01   2.5242800e+04   0.0000000e+00
  -1.1903130e-01  -1.0269960e-01   2.5242800e+04   0.0000000e+00
  -1.1803750e-01  -9.7914400e-02   2.5245700e+04   0.0000000e+00
  -1.1701140e-01  -9.3842300e-02   2.5245700e+04   0.0000000e+00
  -1.1605010e-01  -8.9986200e-02   2.5251700e+04   0.0000000e+00
  -1.1504550e-01  -8.6151700e-02   2.5251700e+04   0.0000000e+00
  -1.1405180e-01  -8.2446800e-02   2.5251700e+04   0.0000000e+00
  -1.1305810e-01  -7.8633900e-02   2.5254700e+04   0.0000000e+00
  -1.1207520e-01  -7.3989400e-02   2.5257700e+04   0.0000000e+00
  -1.1109220e-01  -6.9668800e-02   2.5257700e+04   0.0000000e+00
  -1.1006610e-01  -6.5683100e-02   2.5257700e+04   0.0000000e+00
  -1.0910480e-01  -6.1859400e-02   2.5260600e+04   0.0000000e+00
  -1.0812190e-01  -5.8413800e-02   2.5260600e+04   0.0000000e+00
  -1.0712810e-01  -5.4968200e-02   2.5260600e+04   0.0000000e+00
  -1.0613440e-01  -5.1457700e-02   2.5260600e+04   0.0000000e+00
  -1.0515150e-01  -4.7914900e-02   2.5260600e+04   0.0000000e+00
  -1.0416860e-01  -4.4663600e-02   2.5260600e+04   0.0000000e+00
  -1.0315320e-01  -4.1736500e-02   2.5260600e+04   0.0000000e+00
  -1.0214870e-01  -3.8409700e-02   2.5266600e+04   0.0000000e+00
  -1.0116580e-01  -3.6238600e-02   2.5266600e+04   0.0000000e+00
  -1.0017210e-01  -3.3624700e-02   2.5269600e+04   0.0000000e+00
  -9.9178300e-02  -3.1226700e-02   2.5269600e+04   0.0000000e+00
  -9.8206000e-02  -2.9001700e-02   2.5269600e+04   0.0000000e+00
  -9.7223100e-02  -2.7014200e-02   2.5272600e+04   0.0000000e+00
  -9.6218600e-02  -2.4735100e-02   2.5272600e+04   0.0000000e+00
  -9.5203200e-02  -2.3255300e-02   2.5272600e+04   0.0000000e+00
  -9.4231100e-02  -2.1548700e-02   2.5275500e+04   0.0000000e+00
  -9.3226600e-02  -2.0014900e-02   2.5278500e+04   0.0000000e+00
  -9.2232900e-02  -1.8826800e-02   2.5278500e+04   0.0000000e+00
  -9.1249900e-02  -1.7649400e-02   2.5278500e+04   0.0000000e+00
  -9.0277800e-02  -1.6374900e-02   2.5278500e+04   0.0000000e+00
  -8.9251700e-02  -1.5273100e-02   2.5278500e+04   0.0000000e+00
  -8.8279600e-02  -1.4203800e-02   2.5281500e+04   0.0000000e+00
  -8.7296600e-02  -1.3307300e-02   2.5281500e+04   0.0000000e+00
  -8.6292100e-02  -1.2454000e-02   2.5284500e+04   0.0000000e+00
  -8.5309200e-02  -1.1654700e-02   2.5284500e+04   0.0000000e+00
  -8.4315500e-02  -1.0920200e-02   2.5284500e+04   0.0000000e+00
  -8.3321700e-02  -1.0196500e-02   2.5284500e+04   0.0000000e+00
  -8.2349600e-02  -9.4620000e-03   2.5284500e+04   0.0000000e+00
  -8.1355900e-02  -8.9651000e-03   2.5287500e+04   0.0000000e+00
  -8.0329800e-02  -8.3711000e-03   2.5287500e+04   0.0000000e+00
