   2.3100000e+02   2.0000000e-04   1.0000000e-10
  -1.9019490e+00  -8.5337360e-01   2.8395800e+04   0.0000000e+00
  -1.8921306e+00  -6.6077430e-01   2.8395800e+04   0.0000000e+00
  -1.8818909e+00  -6.4356770e-01   2.8395800e+04   0.0000000e+00
  -1.8719753e+00  -7.4561900e-01   2.8395800e+04   0.0000000e+00
  -1.8620273e+00  -7.0955320e-01   2.8392900e+04   0.0000000e+00
  -1.8522304e+00  -6.8299270e-01   2.8392900e+04   0.0000000e+00
  -1.8422608e+00  -5.0932820e-01   2.8389900e+04   0.0000000e+00
  -1.8323559e+00  -6.1651010e-01   2.8389900e+04   0.0000000e+00
  -1.8220514e+00  -5.6322690e-01   2.8386900e+04   0.0000000e+00
  -1.8120926e+00  -5.3175170e-01   2.8383900e+04   0.0000000e+00
  -1.8021769e+00  -4.3447470e-01   2.8380900e+04   0.0000000e+00
  -1.7921748e+00  -5.0262060e-01   2.8380900e+04   0.0000000e+00
  -1.7822592e+00  -4.6445930e-01   2.8380900e+04   0.0000000e+00
  -1.7723109e+00  -4.4759840e-01   2.8380900e+04   0.0000000e+00
  -1.7620496e+00  -3.4199320e-01   2.8378000e+04   0.0000000e+00
  -1.7520692e+00  -3.9728540e-01   2.8378000e+04   0.0000000e+00
  -1.7420671e+00  -3.7824260e-01   2.8378000e+04   0.0000000e+00
  -1.7321298e+00  -3.4638940e-01   2.8378000e+04   0.0000000e+00
  -1.7222142e+00  -3.3689500e-01   2.8378000e+04   0.0000000e+00
  -1.7118665e+00  -3.1692330e-01   2.8378000e+04   0.0000000e+00
  -1.7019292e+00  -2.7499240e-01   2.8378000e+04   0.0000000e+00
  -1.6919704e+00  -2.7366380e-01   2.8380900e+04   0.0000000e+00
  -1.6820115e+00  -2.7407430e-01   2.8380900e+04   0.0000000e+00
  -1.6721823e+00  -2.7179520e-01   2.8380900e+04   0.0000000e+00
  -1.6622235e+00  -2.5598200e-01   2.8380900e+04   0.0000000e+00
  -1.6518974e+00  -2.2541410e-01   2.8380900e+04   0.0000000e+00
  -1.6419169e+00  -2.2059670e-01   2.8380900e+04   0.0000000e+00
  -1.6320013e+00  -2.0516150e-01   2.8380900e+04   0.0000000e+00
  -1.6220424e+00  -1.9904780e-01   2.8378000e+04   0.0000000e+00
  -1.6120944e+00  -1.8160360e-01   2.8378000e+04   0.0000000e+00
  -1.6021031e+00  -1.8165760e-01   2.8378000e+04   0.0000000e+00
  -1.5918634e+00  -1.7015410e-01   2.8378000e+04   0.0000000e+00
  -1.5818613e+00  -1.7243320e-01   2.8380900e+04   0.0000000e+00
  -1.5719673e+00  -1.5000960e-01   2.8380900e+04   0.0000000e+00
  -1.5619435e+00  -1.3708030e-01   2.8380900e+04   0.0000000e+00
  -1.5520171e+00  -1.3174450e-01   2.8380900e+04   0.0000000e+00
  -1.5421122e+00  -1.3446640e-01   2.8380900e+04   0.0000000e+00
  -1.5317753e+00  -1.3058870e-01   2.8380900e+04   0.0000000e+00
  -1.5218165e+00  -1.3637820e-01   2.8380900e+04   0.0000000e+00
  -1.5118792e+00  -1.2452910e-01   2.8380900e+04   0.0000000e+00
  -1.5019311e+00  -1.2848240e-01   2.8378000e+04   0.0000000e+00
  -1.4919507e+00  -1.1368460e-01   2.8378000e+04   0.0000000e+00
  -1.4820134e+00  -1.0234310e-01   2.8378000e+04   0.0000000e+00
  -1.4716765e+00  -9.0677500e-02   2.8378000e+04   0.0000000e+00
  -1.4617393e+00  -1.0931000e-01   2.8378000e+04   0.0000000e+00
  -1.4517912e+00  -9.7104300e-02   2.8378000e+04   0.0000000e+00
  -1.4418647e+00  -8.5341600e-02   2.8378000e+04   0.0000000e+00
  -1.4318951e+00  -8.3105700e-02   2.8378000e+04   0.0000000e+00
  -1.4218930e+00  -6.9636400e-02   2.8378000e+04   0.0000000e+00
  -1.4116425e+00  -6.6871300e-02   2.8378000e+04   0.0000000e+00
  -1.4016945e+00  -7.5425900e-02   2.8378000e+04   0.0000000e+00
  -1.3916924e+00  -6.7335700e-02   2.8378000e+04   0.0000000e+00
  -1.3817227e+00  -6.6190800e-02   2.8380900e+04   0.0000000e+00
  -1.3717855e+00  -6.8437500e-02   2.8380900e+04   0.0000000e+00
  -1.3618698e+00  -7.7435000e-02   2.8380900e+04   0.0000000e+00
  -1.3515436e+00  -6.1891800e-02   2.8380900e+04   0.0000000e+00
  -1.3415848e+00  -6.8351000e-02   2.8380900e+04   0.0000000e+00
  -1.3316259e+00  -6.2701900e-02   2.8380900e+04   0.0000000e+00
  -1.3217102e+00  -6.1773000e-02   2.8380900e+04   0.0000000e+00
  -1.3117622e+00  -5.9872000e-02   2.8380900e+04   0.0000000e+00
  -1.3018249e+00  -5.3769200e-02   2.8380900e+04   0.0000000e+00
  -1.2915744e+00  -5.2170600e-02   2.8380900e+04   0.0000000e+00
