   6.1000000e+01   4.0000000e-03   1.0000000e-07
  -1.9835650e-01  -1.5150020e-01   2.4286000e+04   0.0000000e+00
  -1.9339870e-01  -1.3293260e-01   2.4286000e+04   0.0000000e+00
  -1.8844080e-01  -1.1391140e-01   2.4286000e+04   0.0000000e+00
  -1.8347220e-01  -9.3896300e-02   2.4286000e+04   0.0000000e+00
  -1.7853600e-01  -7.4691400e-02   2.4289000e+04   0.0000000e+00
  -1.7355650e-01  -5.5173400e-02   2.4289000e+04   0.0000000e+00
  -1.6859870e-01  -3.8074800e-02   2.4289000e+04   0.0000000e+00
  -1.6365170e-01  -2.4951200e-02   2.4292000e+04   0.0000000e+00
  -1.5869390e-01  -1.6396500e-02   2.4292000e+04   0.0000000e+00
  -1.5371440e-01  -1.1082200e-02   2.4294900e+04   0.0000000e+00
  -1.4877820e-01  -7.7770000e-03   2.4294900e+04   0.0000000e+00
  -1.4378800e-01  -5.3359000e-03   2.4294900e+04   0.0000000e+00
  -1.3884100e-01  -3.7373000e-03   2.4297900e+04   0.0000000e+00
  -1.3390470e-01  -2.4735000e-03   2.4297900e+04   0.0000000e+00
  -1.2893610e-01  -1.4906000e-03   2.4297900e+04   0.0000000e+00
  -1.2395670e-01  -8.2090000e-04   2.4297900e+04   0.0000000e+00
  -1.1902050e-01  -3.2400000e-04   2.4300900e+04   0.0000000e+00
  -1.1406260e-01   0.0000000e+00   2.4300900e+04   0.0000000e+00
  -1.0911560e-01   2.4840000e-04   2.4303900e+04   0.0000000e+00
  -1.0415780e-01   3.5640000e-04   2.4303900e+04   0.0000000e+00
  -9.9178300e-02   4.5370000e-04   2.4303900e+04   0.0000000e+00
  -9.4220300e-02   4.6450000e-04   2.4306900e+04   0.0000000e+00
  -8.9262500e-02   5.1850000e-04   2.4309800e+04   0.0000000e+00
  -8.4293900e-02   5.0770000e-04   2.4309800e+04   0.0000000e+00
  -7.9346800e-02   5.0770000e-04   2.4312800e+04   0.0000000e+00
  -7.4378200e-02   5.1850000e-04   2.4315800e+04   0.0000000e+00
  -6.9420400e-02   5.4010000e-04   2.4315800e+04   0.0000000e+00
  -6.4473400e-02   5.5090000e-04   2.4315800e+04   0.0000000e+00
  -5.9515500e-02   5.5090000e-04   2.4318800e+04   0.0000000e+00
  -5.4546900e-02   5.2930000e-04   2.4318800e+04   0.0000000e+00
  -4.9599900e-02   5.5090000e-04   2.4318800e+04   0.0000000e+00
  -4.4631200e-02   5.7250000e-04   2.4321800e+04   0.0000000e+00
  -3.9673400e-02   5.6170000e-04   2.4324700e+04   0.0000000e+00
  -3.4715600e-02   5.6170000e-04   2.4324700e+04   0.0000000e+00
  -2.9757800e-02   5.6170000e-04   2.4327700e+04   0.0000000e+00
  -2.4799900e-02   5.7250000e-04   2.4327700e+04   0.0000000e+00
  -1.9842100e-02   5.8330000e-04   2.4324700e+04   0.0000000e+00
  -1.4862700e-02   6.0490000e-04   2.4327700e+04   0.0000000e+00
  -9.9265000e-03   6.9130000e-04   2.4327700e+04   0.0000000e+00
  -4.9578000e-03   8.5330000e-04   2.4327700e+04   0.0000000e+00
  -2.1600000e-05   1.1017000e-03   2.4330700e+04   0.0000000e+00
   4.9362000e-03   1.4042000e-03   2.4330700e+04   0.0000000e+00
   9.8832000e-03   1.8578000e-03   2.4333700e+04   0.0000000e+00
   1.4862700e-02   2.1603000e-03   2.4336700e+04   0.0000000e+00
   1.9809700e-02   2.8084000e-03   2.4336700e+04   0.0000000e+00
   2.4778300e-02   3.6617000e-03   2.4336700e+04   0.0000000e+00
   2.9725400e-02   4.7634000e-03   2.4336700e+04   0.0000000e+00
   3.4694000e-02   6.4160000e-03   2.4336700e+04   0.0000000e+00
   3.9662600e-02   8.7167000e-03   2.4336700e+04   0.0000000e+00
   4.4598800e-02   1.2324400e-02   2.4336700e+04   0.0000000e+00
   4.9589100e-02   1.8189500e-02   2.4339600e+04   0.0000000e+00
   5.4536100e-02   2.7521900e-02   2.4339600e+04   0.0000000e+00
   5.9483100e-02   4.1412400e-02   2.4342600e+04   0.0000000e+00
   6.4440900e-02   5.9083500e-02   2.4342600e+04   0.0000000e+00
   6.9388000e-02   7.9919300e-02   2.4345600e+04   0.0000000e+00
   7.4356600e-02   1.0040950e-01   2.4345600e+04   0.0000000e+00
   7.9325200e-02   1.1951710e-01   2.4348600e+04   0.0000000e+00
   8.4272300e-02   1.3832230e-01   2.4351600e+04   0.0000000e+00
   8.9230100e-02   1.5719230e-01   2.4351600e+04   0.0000000e+00
   9.4209500e-02   1.7487410e-01   2.4351600e+04   0.0000000e+00
   9.9156500e-02   1.9179990e-01   2.4351600e+04   0.0000000e+00
