   1.7000000e+01   4.0000000e-03   1.0000000e-07
  -9.9373000e-03   1.1341000e-03   2.2003100e+04   0.0000000e+00
  -8.9327000e-03   1.1665000e-03   2.2006100e+04   0.0000000e+00
  -7.9498000e-03   1.2746000e-03   2.2009100e+04   0.0000000e+00
  -6.9669000e-03   1.3286000e-03   2.2009100e+04   0.0000000e+00
  -5.9624000e-03   1.3826000e-03   2.2012100e+04   0.0000000e+00
  -4.9794000e-03   1.4582000e-03   2.2015100e+04   0.0000000e+00
  -3.9641000e-03   1.5662000e-03   2.2015100e+04   0.0000000e+00
  -2.9812000e-03   1.6202000e-03   2.2018000e+04   0.0000000e+00
  -1.9875000e-03   1.6958000e-03   2.2018000e+04   0.0000000e+00
  -9.9370000e-04   1.5230000e-03   2.2021000e+04   0.0000000e+00
  -4.3200000e-05   1.9334000e-03   2.2021000e+04   0.0000000e+00
   9.7210000e-04   1.7282000e-03   2.2027000e+04   0.0000000e+00
   1.9658000e-03   2.1171000e-03   2.2027000e+04   0.0000000e+00
   2.9596000e-03   2.2251000e-03   2.2030000e+04   0.0000000e+00
   3.9425000e-03   2.3115000e-03   2.2030000e+04   0.0000000e+00
   4.9362000e-03   2.4411000e-03   2.2033000e+04   0.0000000e+00
   5.9299000e-03   2.5599000e-03   2.2035900e+04   0.0000000e+00
