   6.1000000e+01   4.0000000e-03   1.0000000e-07
  -1.9835650e-01  -2.0193170e-01   2.3311500e+04   0.0000000e+00
  -1.9340950e-01  -1.8238130e-01   2.3314400e+04   0.0000000e+00
  -1.8844080e-01  -1.6209630e-01   2.3314400e+04   0.0000000e+00
  -1.8347220e-01  -1.4129290e-01   2.3314400e+04   0.0000000e+00
  -1.7850360e-01  -1.1976570e-01   2.3317400e+04   0.0000000e+00
  -1.7356730e-01  -9.7838800e-02   2.3317400e+04   0.0000000e+00
  -1.6859870e-01  -7.5955200e-02   2.3317400e+04   0.0000000e+00
  -1.6364090e-01  -5.5573000e-02   2.3317400e+04   0.0000000e+00
  -1.5867230e-01  -3.8463700e-02   2.3320400e+04   0.0000000e+00
  -1.5370360e-01  -2.6236500e-02   2.3323400e+04   0.0000000e+00
  -1.4876740e-01  -1.8178700e-02   2.3323400e+04   0.0000000e+00
  -1.4379880e-01  -1.3112900e-02   2.3326400e+04   0.0000000e+00
  -1.3883020e-01  -9.6240000e-03   2.3326400e+04   0.0000000e+00
  -1.3388310e-01  -7.1937000e-03   2.3329400e+04   0.0000000e+00
  -1.2893610e-01  -5.3683000e-03   2.3329400e+04   0.0000000e+00
  -1.2396750e-01  -3.8453000e-03   2.3329400e+04   0.0000000e+00
  -1.1902050e-01  -2.6787000e-03   2.3332300e+04   0.0000000e+00
  -1.1404100e-01  -1.7714000e-03   2.3335300e+04   0.0000000e+00
  -1.0909400e-01  -1.1233000e-03   2.3338300e+04   0.0000000e+00
  -1.0413620e-01  -6.1570000e-04   2.3338300e+04   0.0000000e+00
  -9.9189100e-02  -2.8080000e-04   2.3341300e+04   0.0000000e+00
  -9.4220300e-02  -1.0800000e-05   2.3341300e+04   0.0000000e+00
  -8.9273300e-02   2.3760000e-04   2.3344300e+04   0.0000000e+00
  -8.4283100e-02   3.5640000e-04   2.3344300e+04   0.0000000e+00
  -7.9336000e-02   4.3210000e-04   2.3344300e+04   0.0000000e+00
  -7.4378200e-02   4.8610000e-04   2.3347200e+04   0.0000000e+00
  -6.9409600e-02   5.5090000e-04   2.3347200e+04   0.0000000e+00
  -6.4473400e-02   5.4010000e-04   2.3347200e+04   0.0000000e+00
  -5.9504700e-02   5.1850000e-04   2.3350200e+04   0.0000000e+00
  -5.4568500e-02   5.6170000e-04   2.3350200e+04   0.0000000e+00
  -4.9599900e-02   5.6170000e-04   2.3353200e+04   0.0000000e+00
  -4.4620400e-02   5.6170000e-04   2.3356200e+04   0.0000000e+00
  -3.9684200e-02   5.5090000e-04   2.3356200e+04   0.0000000e+00
  -3.4715600e-02   5.8330000e-04   2.3359200e+04   0.0000000e+00
  -2.9768600e-02   5.7250000e-04   2.3359200e+04   0.0000000e+00
  -2.4789100e-02   6.0490000e-04   2.3362100e+04   0.0000000e+00
  -1.9852900e-02   6.4810000e-04   2.3365100e+04   0.0000000e+00
  -1.4873500e-02   7.4530000e-04   2.3365100e+04   0.0000000e+00
  -9.9265000e-03   1.0693000e-03   2.3365100e+04   0.0000000e+00
  -4.9794000e-03   1.3718000e-03   2.3368100e+04   0.0000000e+00
  -4.3200000e-05   1.8146000e-03   2.3368100e+04   0.0000000e+00
   4.9362000e-03   2.3331000e-03   2.3368100e+04   0.0000000e+00
   9.9265000e-03   2.9056000e-03   2.3371100e+04   0.0000000e+00
   1.4851900e-02   3.2296000e-03   2.3371100e+04   0.0000000e+00
   1.9820500e-02   4.0289000e-03   2.3371100e+04   0.0000000e+00
   2.4778300e-02   5.0982000e-03   2.3374100e+04   0.0000000e+00
   2.9725400e-02   6.4052000e-03   2.3377000e+04   0.0000000e+00
   3.4683200e-02   8.2198000e-03   2.3380000e+04   0.0000000e+00
   3.9641000e-02   1.0812200e-02   2.3380000e+04   0.0000000e+00
   4.4598800e-02   1.4787100e-02   2.3380000e+04   0.0000000e+00
   4.9578300e-02   2.0868200e-02   2.3383000e+04   0.0000000e+00
   5.4514500e-02   3.0254600e-02   2.3383000e+04   0.0000000e+00
   5.9483100e-02   4.4307200e-02   2.3383000e+04   0.0000000e+00
   6.4462600e-02   6.3198800e-02   2.3383000e+04   0.0000000e+00
   6.9409600e-02   8.4931100e-02   2.3386000e+04   0.0000000e+00
   7.4356600e-02   1.0776520e-01   2.3389000e+04   0.0000000e+00
   7.9336000e-02   1.2987560e-01   2.3389000e+04   0.0000000e+00
   8.4261500e-02   1.5138110e-01   2.3391900e+04   0.0000000e+00
   8.9219300e-02   1.7216300e-01   2.3394900e+04   0.0000000e+00
   9.4187900e-02   1.9210230e-01   2.3394900e+04   0.0000000e+00
   9.9145700e-02   2.1098330e-01   2.3394900e+04   0.0000000e+00
