   1.8010000e+03   2.0000000e-04   1.0000000e-08
  -1.8022849e+00  -3.8108953e+00   8.9556400e+03   0.0000000e+00
  -1.8011940e+00  -3.7856849e+00   8.9288200e+03   0.0000000e+00
  -1.8001787e+00  -3.8272054e+00   8.9087100e+03   0.0000000e+00
  -1.7994658e+00  -3.7923170e+00   8.8856100e+03   0.0000000e+00
  -1.7983748e+00  -3.7659835e+00   8.8625100e+03   0.0000000e+00
  -1.7972731e+00  -3.7112745e+00   8.8416500e+03   0.0000000e+00
  -1.7962254e+00  -3.7359016e+00   8.8222800e+03   0.0000000e+00
  -1.7951776e+00  -3.7161784e+00   8.8044000e+03   0.0000000e+00
  -1.7940867e+00  -3.6840551e+00   8.7872600e+03   0.0000000e+00
  -1.7933630e+00  -3.6910976e+00   8.7716200e+03   0.0000000e+00
  -1.7922721e+00  -3.6903199e+00   8.7574600e+03   0.0000000e+00
  -1.7912351e+00  -3.6654659e+00   8.7440500e+03   0.0000000e+00
  -1.7901118e+00  -3.6629061e+00   8.7306400e+03   0.0000000e+00
  -1.7890856e+00  -3.6563605e+00   8.7194600e+03   0.0000000e+00
  -1.7883836e+00  -3.6245829e+00   8.7082900e+03   0.0000000e+00
  -1.7872386e+00  -3.6114808e+00   8.6986000e+03   0.0000000e+00
  -1.7862557e+00  -3.6079056e+00   8.6896600e+03   0.0000000e+00
  -1.7851432e+00  -3.5591590e+00   8.6814600e+03   0.0000000e+00
  -1.7841278e+00  -3.5432270e+00   8.6732700e+03   0.0000000e+00
  -1.7830153e+00  -3.5835593e+00   8.6665600e+03   0.0000000e+00
  -1.7823132e+00  -3.5514900e+00   8.6598600e+03   0.0000000e+00
  -1.7812439e+00  -3.5227368e+00   8.6546400e+03   0.0000000e+00
  -1.7801637e+00  -3.5444475e+00   8.6486800e+03   0.0000000e+00
  -1.7791376e+00  -3.5309458e+00   8.6434700e+03   0.0000000e+00
  -1.7780251e+00  -3.5612653e+00   8.6382500e+03   0.0000000e+00
  -1.7773122e+00  -3.5522029e+00   8.6337800e+03   0.0000000e+00
  -1.7762752e+00  -3.5812478e+00   8.6293100e+03   0.0000000e+00
  -1.7751733e+00  -3.5791415e+00   8.6255800e+03   0.0000000e+00
  -1.7741472e+00  -3.5685454e+00   8.6218600e+03   0.0000000e+00
  -1.7730778e+00  -3.5631555e+00   8.6181300e+03   0.0000000e+00
  -1.7723541e+00  -3.5433350e+00   8.6136600e+03   0.0000000e+00
  -1.7713172e+00  -3.4993842e+00   8.6106800e+03   0.0000000e+00
  -1.7701831e+00  -3.5586513e+00   8.6069600e+03   0.0000000e+00
  -1.7691893e+00  -3.5474071e+00   8.6039800e+03   0.0000000e+00
  -1.7680660e+00  -3.5278674e+00   8.6002500e+03   0.0000000e+00
  -1.7670075e+00  -3.5253723e+00   8.5957800e+03   0.0000000e+00
  -1.7663162e+00  -3.5555837e+00   8.5928000e+03   0.0000000e+00
  -1.7652144e+00  -3.5121298e+00   8.5890800e+03   0.0000000e+00
  -1.7641667e+00  -3.5011989e+00   8.5861000e+03   0.0000000e+00
  -1.7630758e+00  -3.4938971e+00   8.5816300e+03   0.0000000e+00
  -1.7620604e+00  -3.4900735e+00   8.5793900e+03   0.0000000e+00
  -1.7613475e+00  -3.4728453e+00   8.5756600e+03   0.0000000e+00
