   6.5100000e+02   4.0000000e-03   1.0000000e-07
  -3.4713470e-01  -6.9601568e+00   1.0620800e+04   0.0000000e+00
  -3.4615180e-01  -6.9256788e+00   1.0621600e+04   0.0000000e+00
  -3.4514720e-01  -6.8912986e+00   1.0623100e+04   0.0000000e+00
  -3.4415350e-01  -6.8710568e+00   1.0624600e+04   0.0000000e+00
  -3.4313820e-01  -6.8417095e+00   1.0626100e+04   0.0000000e+00
  -3.4217690e-01  -6.8177089e+00   1.0627600e+04   0.0000000e+00
  -3.4115070e-01  -6.7836309e+00   1.0629800e+04   0.0000000e+00
  -3.4016780e-01  -6.7505031e+00   1.0631300e+04   0.0000000e+00
  -3.3915250e-01  -6.7266429e+00   1.0632800e+04   0.0000000e+00
  -3.3818040e-01  -6.6984192e+00   1.0634300e+04   0.0000000e+00
  -3.3718660e-01  -6.6664363e+00   1.0635800e+04   0.0000000e+00
  -3.3619290e-01  -6.6376399e+00   1.0637200e+04   0.0000000e+00
  -3.3521000e-01  -6.6010017e+00   1.0639500e+04   0.0000000e+00
  -3.3420550e-01  -6.5681010e+00   1.0641000e+04   0.0000000e+00
  -3.3322250e-01  -6.5404603e+00   1.0642500e+04   0.0000000e+00
  -3.3222880e-01  -6.5043513e+00   1.0643900e+04   0.0000000e+00
  -3.3124590e-01  -6.4748855e+00   1.0646200e+04   0.0000000e+00
  -3.3024140e-01  -6.4420710e+00   1.0646900e+04   0.0000000e+00
  -3.2922600e-01  -6.4137174e+00   1.0649200e+04   0.0000000e+00
  -3.2823230e-01  -6.3797365e+00   1.0650700e+04   0.0000000e+00
  -3.2727100e-01  -6.3420613e+00   1.0652900e+04   0.0000000e+00
  -3.2626650e-01  -6.3135889e+00   1.0653600e+04   0.0000000e+00
  -3.2527270e-01  -6.2810015e+00   1.0655900e+04   0.0000000e+00
  -3.2430060e-01  -6.2521295e+00   1.0658100e+04   0.0000000e+00
  -3.2329610e-01  -6.2110087e+00   1.0659600e+04   0.0000000e+00
  -3.2230240e-01  -6.1818990e+00   1.0661800e+04   0.0000000e+00
  -3.2128700e-01  -6.1489660e+00   1.0663300e+04   0.0000000e+00
  -3.2033650e-01  -6.1193703e+00   1.0665600e+04   0.0000000e+00
  -3.1934280e-01  -6.0991069e+00   1.0667000e+04   0.0000000e+00
  -3.1834910e-01  -6.0616481e+00   1.0669300e+04   0.0000000e+00
  -3.1735530e-01  -6.0260252e+00   1.0670800e+04   0.0000000e+00
  -3.1635080e-01  -5.9901538e+00   1.0672300e+04   0.0000000e+00
  -3.1535710e-01  -5.9581497e+00   1.0674500e+04   0.0000000e+00
  -3.1438500e-01  -5.9334794e+00   1.0676700e+04   0.0000000e+00
  -3.1340200e-01  -5.9066272e+00   1.0678200e+04   0.0000000e+00
  -3.1239750e-01  -5.8618557e+00   1.0679700e+04   0.0000000e+00
  -3.1139300e-01  -5.8315903e+00   1.0681900e+04   0.0000000e+00
  -3.1041010e-01  -5.8051053e+00   1.0683400e+04   0.0000000e+00
  -3.0941630e-01  -5.7731441e+00   1.0684200e+04   0.0000000e+00
  -3.0843340e-01  -5.7416583e+00   1.0685700e+04   0.0000000e+00
  -3.0741810e-01  -5.7119653e+00   1.0687900e+04   0.0000000e+00
  -3.0643520e-01  -5.6807602e+00   1.0689400e+04   0.0000000e+00
  -3.0544140e-01  -5.6489397e+00   1.0690900e+04   0.0000000e+00
  -3.0444770e-01  -5.6210829e+00   1.0693100e+04   0.0000000e+00
  -3.0347560e-01  -5.5898454e+00   1.0694600e+04   0.0000000e+00
  -3.0249270e-01  -5.5580246e+00   1.0696800e+04   0.0000000e+00
  -3.0149890e-01  -5.5192587e+00   1.0698300e+04   0.0000000e+00
  -3.0049440e-01  -5.4950852e+00   1.0699800e+04   0.0000000e+00
  -2.9950070e-01  -5.4648522e+00   1.0702100e+04   0.0000000e+00
  -2.9851780e-01  -5.4406031e+00   1.0703600e+04   0.0000000e+00
  -2.9751320e-01  -5.4019882e+00   1.0705000e+04   0.0000000e+00
  -2.9651950e-01  -5.3737427e+00   1.0706500e+04   0.0000000e+00
  -2.9552580e-01  -5.3472685e+00   1.0708800e+04   0.0000000e+00
  -2.9455360e-01  -5.3099285e+00   1.0709500e+04   0.0000000e+00
  -2.9354910e-01  -5.2808296e+00   1.0711700e+04   0.0000000e+00
  -2.9255540e-01  -5.2593997e+00   1.0714000e+04   0.0000000e+00
  -2.9157250e-01  -5.2179011e+00   1.0715500e+04   0.0000000e+00
  -2.9058950e-01  -5.1984910e+00   1.0717000e+04   0.0000000e+00
  -2.8957420e-01  -5.1649960e+00   1.0718500e+04   0.0000000e+00
  -2.8858050e-01  -5.1346657e+00   1.0720700e+04   0.0000000e+00
  -2.8760840e-01  -5.1048326e+00   1.0722200e+04   0.0000000e+00
  -2.8660380e-01  -5.0761117e+00   1.0723700e+04   0.0000000e+00
  -2.8559930e-01  -5.0444853e+00   1.0725900e+04   0.0000000e+00
  -2.8460560e-01  -5.0172661e+00   1.0728900e+04   0.0000000e+00
  -2.8365510e-01  -4.9815784e+00   1.0730400e+04   0.0000000e+00
  -2.8265050e-01  -4.9532464e+00   1.0732600e+04   0.0000000e+00
  -2.8164600e-01  -4.9346896e+00   1.0734800e+04   0.0000000e+00
  -2.8064150e-01  -4.8997906e+00   1.0736300e+04   0.0000000e+00
  -2.7966940e-01  -4.8665440e+00   1.0737800e+04   0.0000000e+00
  -2.7867560e-01  -4.8330490e+00   1.0740100e+04   0.0000000e+00
  -2.7766030e-01  -4.8078496e+00   1.0741500e+04   0.0000000e+00
  -2.7670980e-01  -4.7780162e+00   1.0743800e+04   0.0000000e+00
  -2.7570530e-01  -4.7468759e+00   1.0745300e+04   0.0000000e+00
  -2.7471150e-01  -4.7148066e+00   1.0747500e+04   0.0000000e+00
  -2.7370700e-01  -4.6826296e+00   1.0749000e+04   0.0000000e+00
  -2.7272410e-01  -4.6622582e+00   1.0750500e+04   0.0000000e+00
  -2.7174120e-01  -4.6314743e+00   1.0752700e+04   0.0000000e+00
  -2.7073660e-01  -4.5915417e+00   1.0754200e+04   0.0000000e+00
  -2.6974290e-01  -4.5719156e+00   1.0755700e+04   0.0000000e+00
  -2.6876000e-01  -4.5365735e+00   1.0757900e+04   0.0000000e+00
  -2.6777710e-01  -4.5076690e+00   1.0760200e+04   0.0000000e+00
  -2.6677250e-01  -4.4799529e+00   1.0761700e+04   0.0000000e+00
  -2.6578960e-01  -4.4483265e+00   1.0763900e+04   0.0000000e+00
  -2.6479590e-01  -4.4273395e+00   1.0766100e+04   0.0000000e+00
  -2.6379140e-01  -4.3858948e+00   1.0767600e+04   0.0000000e+00
  -2.6280840e-01  -4.3608465e+00   1.0769900e+04   0.0000000e+00
  -2.6182550e-01  -4.3361005e+00   1.0771400e+04   0.0000000e+00
  -2.6082100e-01  -4.2980149e+00   1.0772800e+04   0.0000000e+00
  -2.5983810e-01  -4.2731396e+00   1.0774300e+04   0.0000000e+00
  -2.5882270e-01  -4.2401306e+00   1.0776600e+04   0.0000000e+00
  -2.5783980e-01  -4.2198889e+00   1.0778800e+04   0.0000000e+00
  -2.5684610e-01  -4.1810470e+00   1.0780300e+04   0.0000000e+00
  -2.5585240e-01  -4.1545297e+00   1.0781800e+04   0.0000000e+00
  -2.5489100e-01  -4.1257765e+00   1.0784000e+04   0.0000000e+00
  -2.5388650e-01  -4.0991943e+00   1.0786300e+04   0.0000000e+00
  -2.5289280e-01  -4.0668120e+00   1.0788500e+04   0.0000000e+00
  -2.5189910e-01  -4.0350992e+00   1.0790700e+04   0.0000000e+00
  -2.5091610e-01  -4.0055466e+00   1.0792200e+04   0.0000000e+00
  -2.4993320e-01  -3.9722678e+00   1.0794400e+04   0.0000000e+00
  -2.4892870e-01  -3.9432122e+00   1.0795900e+04   0.0000000e+00
  -2.4792420e-01  -3.9171269e+00   1.0797400e+04   0.0000000e+00
  -2.4695200e-01  -3.8837398e+00   1.0798200e+04   0.0000000e+00
  -2.4595830e-01  -3.8495966e+00   1.0800400e+04   0.0000000e+00
  -2.4496460e-01  -3.8220963e+00   1.0801900e+04   0.0000000e+00
  -2.4398170e-01  -3.7960002e+00   1.0803400e+04   0.0000000e+00
  -2.4297710e-01  -3.7660051e+00   1.0804900e+04   0.0000000e+00
  -2.4198340e-01  -3.7352752e+00   1.0807100e+04   0.0000000e+00
  -2.4097890e-01  -3.6980969e+00   1.0809300e+04   0.0000000e+00
  -2.4001760e-01  -3.6813331e+00   1.0810800e+04   0.0000000e+00
  -2.3901300e-01  -3.6490156e+00   1.0813100e+04   0.0000000e+00
  -2.3801930e-01  -3.6203703e+00   1.0815300e+04   0.0000000e+00
  -2.3700400e-01  -3.5919951e+00   1.0817500e+04   0.0000000e+00
  -2.3601020e-01  -3.5670440e+00   1.0819000e+04   0.0000000e+00
  -2.3503810e-01  -3.5254479e+00   1.0821300e+04   0.0000000e+00
  -2.3403360e-01  -3.4998595e+00   1.0823500e+04   0.0000000e+00
  -2.3308310e-01  -3.4714195e+00   1.0824300e+04   0.0000000e+00
  -2.3208940e-01  -3.4292403e+00   1.0826500e+04   0.0000000e+00
  -2.3106320e-01  -3.4206532e+00   1.0828000e+04   0.0000000e+00
  -2.3008030e-01  -3.3878386e+00   1.0830200e+04   0.0000000e+00
  -2.2909740e-01  -3.3590530e+00   1.0831000e+04   0.0000000e+00
  -2.2809280e-01  -3.3323738e+00   1.0833200e+04   0.0000000e+00
  -2.2712070e-01  -3.2974638e+00   1.0835400e+04   0.0000000e+00
  -2.2609460e-01  -3.2712921e+00   1.0836200e+04   0.0000000e+00
  -2.2513330e-01  -3.2381858e+00   1.0837700e+04   0.0000000e+00
  -2.2412870e-01  -3.2116360e+00   1.0839900e+04   0.0000000e+00
  -2.2313500e-01  -3.1809926e+00   1.0841400e+04   0.0000000e+00
  -2.2216290e-01  -3.1475623e+00   1.0842900e+04   0.0000000e+00
  -2.2115840e-01  -3.1213043e+00   1.0844400e+04   0.0000000e+00
  -2.2016460e-01  -3.1015918e+00   1.0845900e+04   0.0000000e+00
  -2.1916010e-01  -3.0627393e+00   1.0848100e+04   0.0000000e+00
  -2.1818800e-01  -3.0345586e+00   1.0848800e+04   0.0000000e+00
  -2.1719430e-01  -2.9966028e+00   1.0851100e+04   0.0000000e+00
  -2.1621130e-01  -2.9788561e+00   1.0853300e+04   0.0000000e+00
  -2.1520680e-01  -2.9486663e+00   1.0855500e+04   0.0000000e+00
  -2.1420230e-01  -2.9265882e+00   1.0857000e+04   0.0000000e+00
  -2.1324100e-01  -2.8949294e+00   1.0860000e+04   0.0000000e+00
  -2.1224720e-01  -2.8553100e+00   1.0861500e+04   0.0000000e+00
  -2.1125350e-01  -2.8321411e+00   1.0863000e+04   0.0000000e+00
  -2.1027060e-01  -2.8005472e+00   1.0865200e+04   0.0000000e+00
  -2.0926610e-01  -2.7737598e+00   1.0867500e+04   0.0000000e+00
  -2.0827230e-01  -2.7389902e+00   1.0869000e+04   0.0000000e+00
  -2.0728940e-01  -2.7055923e+00   1.0871200e+04   0.0000000e+00
  -2.0630650e-01  -2.6835683e+00   1.0872700e+04   0.0000000e+00
  -2.0529120e-01  -2.6609934e+00   1.0874200e+04   0.0000000e+00
  -2.0428660e-01  -2.6273256e+00   1.0876400e+04   0.0000000e+00
  -2.0332530e-01  -2.5947271e+00   1.0877900e+04   0.0000000e+00
  -2.0230980e-01  -2.5629603e+00   1.0880100e+04   0.0000000e+00
  -2.0131610e-01  -2.5331485e+00   1.0881600e+04   0.0000000e+00
