   7.1000000e+01   4.0000000e-03   1.0000000e-09
  -7.9346800e-02  -1.1209344e+00   2.5576500e+04   0.0000000e+00
  -7.8363900e-02  -1.0742400e+00   2.5576500e+04   0.0000000e+00
  -7.7359400e-02  -9.9855470e-01   2.5576500e+04   0.0000000e+00
  -7.6376500e-02  -9.3399500e-01   2.5579500e+04   0.0000000e+00
  -7.5382700e-02  -8.7773070e-01   2.5579500e+04   0.0000000e+00
  -7.4399800e-02  -8.2201710e-01   2.5576500e+04   0.0000000e+00
  -7.3384500e-02  -7.7209310e-01   2.5576500e+04   0.0000000e+00
  -7.2444800e-02  -7.0848390e-01   2.5576500e+04   0.0000000e+00
  -7.1418600e-02  -6.7793760e-01   2.5579500e+04   0.0000000e+00
  -7.0424900e-02  -6.3168620e-01   2.5579500e+04   0.0000000e+00
  -6.9420400e-02  -5.9129970e-01   2.5579500e+04   0.0000000e+00
  -6.8448300e-02  -5.5116180e-01   2.5579500e+04   0.0000000e+00
  -6.7465300e-02  -5.1461010e-01   2.5582500e+04   0.0000000e+00
  -6.6439200e-02  -4.8108260e-01   2.5582500e+04   0.0000000e+00
  -6.5477900e-02  -4.3876290e-01   2.5582500e+04   0.0000000e+00
  -6.4473400e-02  -4.1195370e-01   2.5582500e+04   0.0000000e+00
  -6.3479600e-02  -3.8092140e-01   2.5582500e+04   0.0000000e+00
  -6.2485900e-02  -3.5210330e-01   2.5585500e+04   0.0000000e+00
  -6.1513800e-02  -3.2607200e-01   2.5585500e+04   0.0000000e+00
  -6.0498500e-02  -2.9496410e-01   2.5585500e+04   0.0000000e+00
  -5.9504700e-02  -2.7366380e-01   2.5585500e+04   0.0000000e+00
  -5.8521800e-02  -2.4757850e-01   2.5588500e+04   0.0000000e+00
  -5.7538900e-02  -2.2841690e-01   2.5588500e+04   0.0000000e+00
  -5.6534300e-02  -2.0413540e-01   2.5588500e+04   0.0000000e+00
  -5.5529800e-02  -1.8567570e-01   2.5591400e+04   0.0000000e+00
  -5.4579300e-02  -1.6459140e-01   2.5591400e+04   0.0000000e+00
  -5.3585600e-02  -1.4530020e-01   2.5594400e+04   0.0000000e+00
  -5.2570200e-02  -1.2684060e-01   2.5594400e+04   0.0000000e+00
  -5.1587300e-02  -1.0871590e-01   2.5594400e+04   0.0000000e+00
  -5.0604400e-02  -9.2092400e-02   2.5594400e+04   0.0000000e+00
  -4.9610700e-02  -7.5534000e-02   2.5597400e+04   0.0000000e+00
  -4.8595300e-02  -5.9612700e-02   2.5597400e+04   0.0000000e+00
  -4.7612400e-02  -4.3075800e-02   2.5600400e+04   0.0000000e+00
  -4.6629500e-02  -2.7349100e-02   2.5603400e+04   0.0000000e+00
  -4.5635800e-02  -1.1125400e-02   2.5603400e+04   0.0000000e+00
  -4.4642000e-02   3.8561000e-03   2.5603400e+04   0.0000000e+00
  -4.3659100e-02   1.8103100e-02   2.5603400e+04   0.0000000e+00
  -4.2654600e-02   3.4434800e-02   2.5603400e+04   0.0000000e+00
  -4.1650100e-02   4.8022900e-02   2.5606300e+04   0.0000000e+00
  -4.0677900e-02   6.3101600e-02   2.5606300e+04   0.0000000e+00
  -3.9705800e-02   7.9217200e-02   2.5606300e+04   0.0000000e+00
  -3.8690500e-02   9.4814400e-02   2.5603400e+04   0.0000000e+00
  -3.7686000e-02   1.1040080e-01   2.5603400e+04   0.0000000e+00
  -3.6713800e-02   1.2752090e-01   2.5603400e+04   0.0000000e+00
  -3.5730900e-02   1.4331250e-01   2.5603400e+04   0.0000000e+00
  -3.4748000e-02   1.6054070e-01   2.5603400e+04   0.0000000e+00
  -3.3721900e-02   1.7640790e-01   2.5606300e+04   0.0000000e+00
  -3.2760500e-02   1.9336610e-01   2.5606300e+04   0.0000000e+00
  -3.1756000e-02   2.0953570e-01   2.5606300e+04   0.0000000e+00
  -3.0762300e-02   2.2638600e-01   2.5609300e+04   0.0000000e+00
  -2.9779400e-02   2.4670340e-01   2.5609300e+04   0.0000000e+00
  -2.8785600e-02   2.6500090e-01   2.5612300e+04   0.0000000e+00
  -2.7781100e-02   2.8272600e-01   2.5612300e+04   0.0000000e+00
  -2.6787400e-02   3.0622970e-01   2.5612300e+04   0.0000000e+00
  -2.5782900e-02   3.3007910e-01   2.5612300e+04   0.0000000e+00
  -2.4810700e-02   3.5442540e-01   2.5612300e+04   0.0000000e+00
  -2.3806200e-02   3.8025150e-01   2.5615300e+04   0.0000000e+00
  -2.2801700e-02   4.0635840e-01   2.5615300e+04   0.0000000e+00
  -2.1840400e-02   4.3466900e-01   2.5618300e+04   0.0000000e+00
  -2.0846600e-02   4.6630620e-01   2.5618300e+04   0.0000000e+00
  -1.9852900e-02   4.9484340e-01   2.5618300e+04   0.0000000e+00
  -1.8837600e-02   5.2663190e-01   2.5618300e+04   0.0000000e+00
  -1.7865500e-02   5.6161750e-01   2.5618300e+04   0.0000000e+00
  -1.6882500e-02   6.0291110e-01   2.5621200e+04   0.0000000e+00
  -1.5888800e-02   6.4647330e-01   2.5621200e+04   0.0000000e+00
  -1.4884300e-02   6.9444210e-01   2.5621200e+04   0.0000000e+00
  -1.3901400e-02   7.4273500e-01   2.5624200e+04   0.0000000e+00
  -1.2918400e-02   7.9168680e-01   2.5624200e+04   0.0000000e+00
  -1.1913900e-02   8.4481890e-01   2.5624200e+04   0.0000000e+00
  -1.0941800e-02   8.9608220e-01   2.5627200e+04   0.0000000e+00
  -9.9373000e-03   9.9735590e-01   2.5627200e+04   0.0000000e+00
