   8.1000000e+01   4.0000000e-03   1.0000000e-09
  -7.9379200e-02  -4.8174000e-03   2.5806000e+04   0.0000000e+00
  -7.8353100e-02  -4.0181000e-03   2.5806000e+04   0.0000000e+00
  -7.7359400e-02  -2.9704000e-03   2.5806000e+04   0.0000000e+00
  -7.6398100e-02  -2.6031000e-03   2.5806000e+04   0.0000000e+00
  -7.5382700e-02  -1.1341000e-03   2.5806000e+04   0.0000000e+00
  -7.4378200e-02  -2.1279000e-03   2.5806000e+04   0.0000000e+00
  -7.3406100e-02  -8.3170000e-04   2.5809000e+04   0.0000000e+00
  -7.2423200e-02   0.0000000e+00   2.5809000e+04   0.0000000e+00
  -7.1407800e-02   3.8880000e-04   2.5809000e+04   0.0000000e+00
  -7.0435700e-02   9.1810000e-04   2.5806000e+04   0.0000000e+00
  -6.9442000e-02   6.6970000e-04   2.5806000e+04   0.0000000e+00
  -6.8448300e-02   9.7210000e-04   2.5806000e+04   0.0000000e+00
  -6.7454500e-02   2.9272000e-03   2.5806000e+04   0.0000000e+00
  -6.6450000e-02   3.1324000e-03   2.5806000e+04   0.0000000e+00
  -6.5488700e-02   3.2404000e-03   2.5806000e+04   0.0000000e+00
  -6.4484200e-02   2.6571000e-03   2.5809000e+04   0.0000000e+00
  -6.3490400e-02   2.0631000e-03   2.5809000e+04   0.0000000e+00
  -6.2485900e-02   3.0352000e-03   2.5809000e+04   0.0000000e+00
  -6.1524600e-02   3.2728000e-03   2.5809000e+04   0.0000000e+00
  -6.0498500e-02   2.9920000e-03   2.5812000e+04   0.0000000e+00
  -5.9504700e-02   1.9226000e-03   2.5815000e+04   0.0000000e+00
  -5.8511000e-02   2.5059000e-03   2.5815000e+04   0.0000000e+00
  -5.7538900e-02   3.5645000e-03   2.5817900e+04   0.0000000e+00
  -5.6545200e-02   2.7219000e-03   2.5817900e+04   0.0000000e+00
  -5.5529800e-02   3.1000000e-03   2.5817900e+04   0.0000000e+00
  -5.4568500e-02   3.0892000e-03   2.5817900e+04   0.0000000e+00
  -5.3574800e-02   2.7760000e-03   2.5820900e+04   0.0000000e+00
  -5.2591900e-02   3.8345000e-03   2.5820900e+04   0.0000000e+00
  -5.1598100e-02   2.9056000e-03   2.5820900e+04   0.0000000e+00
  -5.0593600e-02   5.8327000e-03   2.5820900e+04   0.0000000e+00
  -4.9610700e-02   2.9704000e-03   2.5820900e+04   0.0000000e+00
  -4.8616900e-02   4.5798000e-03   2.5823900e+04   0.0000000e+00
  -4.7601600e-02   4.0181000e-03   2.5823900e+04   0.0000000e+00
  -4.6640300e-02   3.7697000e-03   2.5823900e+04   0.0000000e+00
  -4.5635800e-02   3.5428000e-03   2.5823900e+04   0.0000000e+00
  -4.4620400e-02   4.6122000e-03   2.5823900e+04   0.0000000e+00
  -4.3669900e-02   3.7913000e-03   2.5823900e+04   0.0000000e+00
  -4.2654600e-02   4.2341000e-03   2.5823900e+04   0.0000000e+00
  -4.1650100e-02   4.8282000e-03   2.5823900e+04   0.0000000e+00
  -4.0667100e-02   4.2557000e-03   2.5823900e+04   0.0000000e+00
  -3.9684200e-02   4.1585000e-03   2.5826900e+04   0.0000000e+00
  -3.8690500e-02   4.1693000e-03   2.5829900e+04   0.0000000e+00
  -3.7696800e-02   3.7805000e-03   2.5829900e+04   0.0000000e+00
  -3.6703000e-02   4.9470000e-03   2.5829900e+04   0.0000000e+00
  -3.5730900e-02   4.0613000e-03   2.5829900e+04   0.0000000e+00
  -3.4737200e-02   4.1801000e-03   2.5829900e+04   0.0000000e+00
  -3.3743500e-02   3.8129000e-03   2.5829900e+04   0.0000000e+00
  -3.2749700e-02   4.7202000e-03   2.5829900e+04   0.0000000e+00
  -3.1756000e-02   4.1261000e-03   2.5829900e+04   0.0000000e+00
  -3.0751500e-02   4.4826000e-03   2.5829900e+04   0.0000000e+00
  -2.9757800e-02   5.1415000e-03   2.5829900e+04   0.0000000e+00
  -2.8785600e-02   5.4979000e-03   2.5829900e+04   0.0000000e+00
  -2.7770300e-02   4.4934000e-03   2.5829900e+04   0.0000000e+00
  -2.6787400e-02   5.4223000e-03   2.5829900e+04   0.0000000e+00
  -2.5772100e-02   5.0118000e-03   2.5829900e+04   0.0000000e+00
  -2.4821500e-02   5.4223000e-03   2.5832800e+04   0.0000000e+00
  -2.3817000e-02   5.1415000e-03   2.5835800e+04   0.0000000e+00
  -2.2834100e-02   5.5519000e-03   2.5835800e+04   0.0000000e+00
  -2.1829600e-02   5.1090000e-03   2.5835800e+04   0.0000000e+00
  -2.0857400e-02   5.3683000e-03   2.5835800e+04   0.0000000e+00
  -1.9852900e-02   6.5456000e-03   2.5835800e+04   0.0000000e+00
  -1.8826800e-02   6.8697000e-03   2.5835800e+04   0.0000000e+00
  -1.7876300e-02   6.1460000e-03   2.5835800e+04   0.0000000e+00
  -1.6882500e-02   7.3233000e-03   2.5835800e+04   0.0000000e+00
  -1.5888800e-02   7.8850000e-03   2.5835800e+04   0.0000000e+00
  -1.4884300e-02   7.9930000e-03   2.5835800e+04   0.0000000e+00
  -1.3901400e-02   7.7878000e-03   2.5838800e+04   0.0000000e+00
  -1.2907600e-02   8.7815000e-03   2.5841800e+04   0.0000000e+00
  -1.1924700e-02   9.6456000e-03   2.5841800e+04   0.0000000e+00
  -1.0931000e-02   8.8895000e-03   2.5841800e+04   0.0000000e+00
  -9.9481000e-03   1.2853600e-02   2.5844800e+04   0.0000000e+00
  -8.9435000e-03   1.4063400e-02   2.5844800e+04   0.0000000e+00
  -7.9606000e-03   1.5683600e-02   2.5844800e+04   0.0000000e+00
  -6.9561000e-03   1.6677300e-02   2.5844800e+04   0.0000000e+00
