   7.1000000e+01   4.0000000e-03   1.0000000e-07
  -7.9357600e-02  -1.4692040e-01   2.5165300e+04   0.0000000e+00
  -7.8374700e-02  -1.4455490e-01   2.5141400e+04   0.0000000e+00
  -7.7348600e-02  -1.3886260e-01   2.5156300e+04   0.0000000e+00
  -7.6387300e-02  -1.3893820e-01   2.5183100e+04   0.0000000e+00
  -7.5382700e-02  -1.3159320e-01   2.5195100e+04   0.0000000e+00
  -7.4389000e-02  -1.2834200e-01   2.5189100e+04   0.0000000e+00
  -7.3384500e-02  -1.2829880e-01   2.5183100e+04   0.0000000e+00
  -7.2401600e-02  -1.2513400e-01   2.5180200e+04   0.0000000e+00
  -7.1418600e-02  -1.0276440e-01   2.5180200e+04   0.0000000e+00
  -7.0414100e-02  -1.1667660e-01   2.5183100e+04   0.0000000e+00
  -6.9442000e-02  -1.1289610e-01   2.5186100e+04   0.0000000e+00
  -6.8448300e-02  -1.0768980e-01   2.5195100e+04   0.0000000e+00
  -6.7432900e-02  -1.0827310e-01   2.5201000e+04   0.0000000e+00
  -6.6460800e-02  -1.0410380e-01   2.5210000e+04   0.0000000e+00
  -6.5499500e-02  -9.9880400e-02   2.5218900e+04   0.0000000e+00
  -6.4473400e-02  -1.0039890e-01   2.5224900e+04   0.0000000e+00
  -6.3479600e-02  -9.7536300e-02   2.5233800e+04   0.0000000e+00
  -6.2496700e-02  -9.6823400e-02   2.5239800e+04   0.0000000e+00
  -6.1492200e-02  -9.3723500e-02   2.5245700e+04   0.0000000e+00
  -6.0520100e-02  -9.2967400e-02   2.5254700e+04   0.0000000e+00
  -5.9515500e-02  -9.3205000e-02   2.5257700e+04   0.0000000e+00
  -5.8511000e-02  -9.2330100e-02   2.5266600e+04   0.0000000e+00
  -5.7528100e-02  -9.2772900e-02   2.5269600e+04   0.0000000e+00
  -5.6545200e-02  -9.2416500e-02   2.5275500e+04   0.0000000e+00
  -5.5540600e-02  -9.2330100e-02   2.5281500e+04   0.0000000e+00
  -5.4590100e-02  -9.2276100e-02   2.5287500e+04   0.0000000e+00
  -5.3553200e-02  -9.1314700e-02   2.5293400e+04   0.0000000e+00
  -5.2591900e-02  -9.0591100e-02   2.5299400e+04   0.0000000e+00
  -5.1576500e-02  -9.2405700e-02   2.5302400e+04   0.0000000e+00
  -5.0615200e-02  -9.1638800e-02   2.5305300e+04   0.0000000e+00
  -4.9599900e-02  -9.0850300e-02   2.5308300e+04   0.0000000e+00
  -4.8606100e-02  -8.9392100e-02   2.5311300e+04   0.0000000e+00
  -4.7601600e-02  -8.8052700e-02   2.5317300e+04   0.0000000e+00
  -4.6629500e-02  -8.7685500e-02   2.5320200e+04   0.0000000e+00
  -4.5635800e-02  -8.8474000e-02   2.5326200e+04   0.0000000e+00
  -4.4642000e-02  -8.7134600e-02   2.5329200e+04   0.0000000e+00
  -4.3659100e-02  -8.7912300e-02   2.5332200e+04   0.0000000e+00
  -4.2654600e-02  -8.7599100e-02   2.5335100e+04   0.0000000e+00
  -4.1671700e-02  -8.6065300e-02   2.5338100e+04   0.0000000e+00
  -4.0667100e-02  -8.7998700e-02   2.5341100e+04   0.0000000e+00
  -3.9695000e-02  -8.6918600e-02   2.5344100e+04   0.0000000e+00
  -3.8701300e-02  -8.5773600e-02   2.5347100e+04   0.0000000e+00
  -3.7707600e-02  -8.6670200e-02   2.5350000e+04   0.0000000e+00
  -3.6703000e-02  -8.7696300e-02   2.5353000e+04   0.0000000e+00
  -3.5720100e-02  -8.7296600e-02   2.5356000e+04   0.0000000e+00
  -3.4737200e-02  -8.5438800e-02   2.5359000e+04   0.0000000e+00
  -3.3743500e-02  -8.6400100e-02   2.5364900e+04   0.0000000e+00
  -3.2771300e-02  -8.5870900e-02   2.5367900e+04   0.0000000e+00
  -3.1756000e-02  -8.5870900e-02   2.5367900e+04   0.0000000e+00
  -3.0751500e-02  -8.2900500e-02   2.5370900e+04   0.0000000e+00
  -2.9747000e-02  -8.3829400e-02   2.5376900e+04   0.0000000e+00
  -2.8796400e-02  -8.6897000e-02   2.5376900e+04   0.0000000e+00
  -2.7770300e-02  -8.3429800e-02   2.5379800e+04   0.0000000e+00
  -2.6787400e-02  -8.3159700e-02   2.5379800e+04   0.0000000e+00
  -2.5782900e-02  -8.2781700e-02   2.5382800e+04   0.0000000e+00
  -2.4810700e-02  -8.2673700e-02   2.5385800e+04   0.0000000e+00
  -2.3817000e-02  -8.0416200e-02   2.5385800e+04   0.0000000e+00
  -2.2834100e-02  -8.0308200e-02   2.5388800e+04   0.0000000e+00
  -2.1840400e-02  -8.0707800e-02   2.5391800e+04   0.0000000e+00
  -2.0835800e-02  -7.9260400e-02   2.5391800e+04   0.0000000e+00
  -1.9852900e-02  -7.8979600e-02   2.5394700e+04   0.0000000e+00
  -1.8837600e-02  -7.7143400e-02   2.5397700e+04   0.0000000e+00
  -1.7865500e-02  -7.7359400e-02   2.5397700e+04   0.0000000e+00
  -1.6882500e-02  -7.5242300e-02   2.5400700e+04   0.0000000e+00
  -1.5888800e-02  -7.3146900e-02   2.5400700e+04   0.0000000e+00
  -1.4884300e-02  -6.9625600e-02   2.5406700e+04   0.0000000e+00
  -1.3912200e-02  -6.8891100e-02   2.5406700e+04   0.0000000e+00
  -1.2918400e-02  -6.5099800e-02   2.5409600e+04   0.0000000e+00
  -1.1935500e-02  -6.2723500e-02   2.5409600e+04   0.0000000e+00
  -1.0920200e-02  -6.2334700e-02   2.5412600e+04   0.0000000e+00
  -9.9481000e-03  -5.1457700e-02   2.5412600e+04   0.0000000e+00
